	DUHS_A549	DUHS_Cd20ro01794	DUHS_Gm12878	DUHS_H1hesc	DUHS_H7hesc	DUHS_Helas3Ifna4h	DUHS_Helas3	DUHS_Hepg2	DUHS_Huvec	DUHS_Imr90	DUHS_K562G1phase	DUHS_K562G2mphase	DUHS_K562Nabut	DUHS_K562Saha1u72hr	DUHS_K562Sahactrl	DUHS_K562	DUHS_LNCaP	DUHS_Mcf7Ctcfshrna	DUHS_Mcf7Hypoxlac	DUHS_Mcf7Randshrna	DUHS_Mcf7	DUHS_Monocd14	DUHS_NakedK562	DUHS_NakedMcf7	DUHS_Sknsh	UWDGF_A549	UWDGF_Cd20ro01778	UWDGF_H7hesc	UWDGF_Hepg2	UWDGF_Huvec	UWDGF_K562Znfa41c6	UWDGF_K562Znfp5	UWDGF_K562	UWDGF_Lhcnm2Diff4d	UWDGF_Lhcnm2	UWDGF_NakedIMR90	UWDGF_m3134	UWHS_A549	UWHS_Cd20ro01778	UWHS_Gm12878	UWHS_H1hesc	UWHS_Helas3	UWHS_Hepg2	UWHS_Huvec	UWHS_K562Znf2c10c5	UWHS_K562Znf4c50c4	UWHS_K562Znf4g7d3	UWHS_K562Znfa41c6	UWHS_K562Znfb34a8	UWHS_K562Znfe103c6	UWHS_K562Znff41b2	UWHS_K562Znfg54a11	UWHS_K562Znfp5	UWHS_K562	UWHS_Lhcnm2Diff4d	UWHS_Lhcnm2	UWHS_Mcf7Est100nm1h	UWHS_Mcf7Estctrl0h	UWHS_Mcf7	UWHS_Monocd14	UWHS_Monocd14ro1746
DUHS_A549	1	0.936362	0.948324	0.830915	0.794938	0.875821	0.911273	0.935454	0.909071	0.915008	0.918725	0.905668	0.951051	0.918787	0.902829	0.945729	0.95564	0.986558	0.963939	0.932401	0.92851	0.823199	0.457789	0.597775	0.900583	0.63947	0.703565	0.647427	0.739187	0.642165	0.68444	0.681502	0.69096	0.64748	0.630352	0.237523	0.676429	0.611931	0.691758	0.663271	0.654236	0.645521	0.747282	0.590272	0.633325	0.612805	0.619044	0.649754	0.604988	0.634992	0.673333	0.603445	0.679257	0.701582	0.651263	0.627923	0.612221	0.609504	0.669414	0.628862	0.65918
DUHS_Cd20ro01794	0.936362	1	0.960095	0.866001	0.800517	0.90065	0.944027	0.971167	0.914173	0.964047	0.956214	0.943097	0.976126	0.967751	0.936867	0.970167	0.970386	0.964318	0.952586	0.907531	0.879757	0.896264	0.487595	0.633755	0.919088	0.652307	0.745521	0.651608	0.76318	0.650814	0.710534	0.711244	0.694091	0.66595	0.636088	0.264352	0.675837	0.591933	0.7166	0.652806	0.648208	0.597856	0.757355	0.553193	0.62689	0.590109	0.60569	0.643425	0.590674	0.619092	0.655285	0.594364	0.691815	0.696924	0.660692	0.615262	0.61688	0.61411	0.662487	0.617773	0.665957
DUHS_Gm12878	0.948324	0.960095	1	0.764696	0.743849	0.879626	0.883388	0.914154	0.871805	0.922307	0.921643	0.911758	0.962548	0.920984	0.923279	0.952902	0.977049	0.959255	0.924856	0.911721	0.943121	0.864647	0.479117	0.613966	0.899904	0.658391	0.722278	0.683778	0.766904	0.650905	0.706297	0.700882	0.708822	0.640113	0.619047	0.290197	0.708827	0.627833	0.705835	0.678384	0.686661	0.667171	0.7659	0.608012	0.650238	0.632226	0.633253	0.666911	0.613763	0.651932	0.706766	0.608827	0.691044	0.717281	0.643503	0.615315	0.624116	0.620686	0.709237	0.634231	0.665852
DUHS_H1hesc	0.830915	0.866001	0.764696	1	0.83318	0.817807	0.921307	0.911737	0.850265	0.826703	0.862427	0.848335	0.84363	0.917519	0.835026	0.852021	0.821082	0.855469	0.913519	0.807344	0.723668	0.810376	0.401856	0.537352	0.827305	0.438196	0.546086	0.421058	0.573153	0.456296	0.500802	0.509076	0.490172	0.509357	0.468681	0.087597	0.457578	0.366735	0.510743	0.433384	0.424406	0.378793	0.551661	0.326961	0.409908	0.358999	0.392547	0.419825	0.38302	0.391037	0.42275	0.396602	0.49089	0.497191	0.490773	0.434839	0.408533	0.405968	0.423317	0.40268	0.45851
DUHS_H7hesc	0.794938	0.800517	0.743849	0.83318	1	0.634436	0.770462	0.779402	0.672417	0.714607	0.867463	0.868774	0.832927	0.855644	0.857497	0.856301	0.796928	0.808579	0.846647	0.87457	0.670343	0.781867	0.163319	0.280025	0.879489	0.320024	0.41603	0.292055	0.476133	0.305345	0.379698	0.410809	0.35902	0.415526	0.346296	-0.075056	0.34732	0.257413	0.380057	0.305221	0.29917	0.263895	0.44406	0.211279	0.30807	0.253976	0.295211	0.305419	0.281259	0.283944	0.323714	0.283011	0.392676	0.370432	0.389936	0.307879	0.279922	0.273877	0.320375	0.270211	0.322122
DUHS_Helas3Ifna4h	0.875821	0.90065	0.879626	0.817807	0.634436	1	0.938884	0.939657	0.967051	0.932231	0.819146	0.785916	0.845595	0.860579	0.767879	0.821161	0.872343	0.895134	0.882018	0.738293	0.905394	0.731718	0.682848	0.811408	0.730194	0.74842	0.808427	0.764373	0.816465	0.770167	0.792568	0.78711	0.804716	0.76525	0.758797	0.436066	0.766584	0.723268	0.800546	0.773855	0.776645	0.755227	0.82384	0.708404	0.744407	0.719072	0.736277	0.763281	0.716975	0.745386	0.773703	0.726661	0.787144	0.815311	0.767824	0.753875	0.735184	0.73387	0.783515	0.746722	0.772575
DUHS_Helas3	0.911273	0.944027	0.883388	0.921307	0.770462	0.938884	1	0.985741	0.947639	0.916648	0.894974	0.871284	0.902001	0.943265	0.871222	0.898504	0.909688	0.933895	0.958136	0.839995	0.857554	0.853987	0.524113	0.658615	0.846668	0.59875	0.682538	0.594381	0.705081	0.617151	0.649712	0.650702	0.65853	0.636049	0.613577	0.243807	0.61859	0.548335	0.660459	0.613731	0.605381	0.575648	0.706188	0.518196	0.579712	0.538975	0.566441	0.591397	0.547687	0.56889	0.604571	0.559573	0.642793	0.671721	0.630258	0.59503	0.57631	0.574564	0.615619	0.577117	0.619583
DUHS_Hepg2	0.935454	0.971167	0.914154	0.911737	0.779402	0.939657	0.985741	1	0.957113	0.955266	0.9214	0.899924	0.937233	0.953658	0.889477	0.929907	0.937711	0.957224	0.963405	0.865176	0.870962	0.859048	0.536218	0.677711	0.868119	0.64014	0.730737	0.637314	0.739867	0.656029	0.695957	0.693589	0.694427	0.668648	0.648345	0.2737	0.655418	0.587027	0.707694	0.651974	0.642801	0.604041	0.743029	0.55508	0.618134	0.582519	0.602107	0.636695	0.585191	0.612381	0.642096	0.59621	0.68203	0.702649	0.66523	0.631142	0.616106	0.614822	0.650372	0.621128	0.664756
DUHS_Huvec	0.909071	0.914173	0.871805	0.850265	0.672417	0.967051	0.947639	0.957113	1	0.953897	0.843471	0.812399	0.869459	0.879449	0.783737	0.846866	0.886781	0.923828	0.905731	0.768627	0.876251	0.736215	0.647611	0.785625	0.754682	0.758835	0.82259	0.759712	0.825919	0.77838	0.802483	0.796699	0.809023	0.779089	0.774018	0.396436	0.769307	0.725072	0.812986	0.776253	0.761672	0.74	0.837145	0.701028	0.747665	0.718905	0.735588	0.765961	0.724226	0.746743	0.76435	0.733579	0.795983	0.816296	0.782231	0.767565	0.742554	0.741676	0.762379	0.755793	0.786702
DUHS_Imr90	0.915008	0.964047	0.922307	0.826703	0.714607	0.932231	0.916648	0.955266	0.953897	1	0.90698	0.884655	0.934783	0.915224	0.850655	0.911217	0.929298	0.940632	0.901363	0.822121	0.874407	0.779544	0.599699	0.747768	0.825197	0.780246	0.86333	0.779067	0.851483	0.785782	0.835973	0.830686	0.813944	0.792508	0.77614	0.398129	0.784899	0.727073	0.842509	0.778343	0.766892	0.714968	0.853519	0.691447	0.756938	0.728931	0.738036	0.781821	0.728537	0.7574	0.770174	0.734909	0.81335	0.80986	0.791821	0.76073	0.753647	0.752245	0.769696	0.761578	0.802687
