FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE	DNASE2TF	FLR	PIQ	WELLINGTON
ATF3	0.587766539956261	0.874601949564	0.42924579525	0.325755995758	0.951932226522	0.959993071368	0.957138851592	0.928425734494	0.9285248958	0.86656219402	0.914858745751	0.942599139401	0.915276101019	0.93115911516	0.929776046158
BACH1	0.595062996449516	0.396851765777	0.16484263429	0.124420305891	0.530486186619	0.571701960646	0.557000003839	0.475044122398	0.474648547473	0.349552425154	0.456697718386	0.504877581622	0.463242723757	0.561108678231	0.475791643885
BRCA1	0.482916248812613	0.982991032108	0.345391944912	0.00994875490432	0.997868123949	0.997581872047	0.998158379374	0.995960445192	0.995714228521	0.965179357835	0.991522539835	0.997758027064	0.989718952678	0.997860116903	0.996867243174
CEBPB	0.647424338487731	0.398383743401	0.190717079663	0.161614789851	0.499563423939	0.530333458247	0.518982558624	0.457971182553	0.457953847024	0.420110702821	0.399907871544	0.480356545418	0.448104727149	0.459661324167	0.458745586338
CTCF	0.437563756375638	0.421560310528	0.250668181009	0.467364276718	0.625195786521	0.650949121578	0.643896483091	0.526893063665	0.521800340808	0.501826663534	0.629689589574	0.570920262546	0.527098050973	0.529314423284	0.529802311897
EGR1	0.271667611780688	0.561880711769	0.109333800276	0.225317535968	0.770541771823	0.836674474469	0.822618427755	0.677952995019	0.666777882505	0.559897734748	0.649670631231	0.733428210381	0.662870502156	0.691494019655	0.683775411863
FOSL1	0.63917755506838	0.909475844917	0.220895486279	0.151191897001	0.991662988391	0.991350209666	0.991226089336	0.967083896817	0.966635284047	0.85984096987	0.942418979751	0.984308014126	0.957134785138	0.969336083849	0.968035410922
GABP	0.385942909955403	0.77542216442	0.228502100465	0.321238541167	0.956544977497	0.969115807605	0.967599856376	0.894131646574	0.885450327452	0.766414431738	0.863742642973	0.92805482838	0.870572901873	0.899895578754	0.897069405723
JUN	0.673359416303113	0.873342511832	0.444310284791	0.135065199416	0.952290425632	0.964002638305	0.960292336946	0.928147471821	0.927852062658	0.826723440426	0.908330205721	0.942263505208	0.899089844345	0.930865032793	0.92941530112
JUND	0.623249283090621	0.61195304613	0.211145230062	0.156471967356	0.773233035939	0.812647285149	0.799229046112	0.710964705818	0.71069290611	0.650502404908	0.654884667344	0.745309222324	0.675765541296	0.714027214776	0.71234652753
MAFK	0.705908828833056	0.250027182509	0.127005781176	0.339461662163	0.343285297286	0.375251199636	0.363509134575	0.302997699536	0.302963161712	0.216970305912	0.260178056321	0.324356931686	0.288909877499	0.30424174679	0.303565243501
MAX	0.465860778843763	0.700552172942	0.244250140439	0.0934748069347	0.837061700822	0.851078286558	0.844645218464	0.787451881463	0.787231293325	0.650515273435	0.712268565016	0.815203081541	0.755188604545	0.79063978673	0.788911946946
MYC	0.526850490800918	0.861958969152	0.277522247405	0.0934631683915	0.948235685948	0.954419906524	0.951834007891	0.921722326469	0.921090512695	0.84683192307	0.864635819366	0.937311996477	0.891133976969	0.924909061674	0.92314808933
NRF1	0.182766276627663	0.414370755953	0.381434011789	0.458841367444	0.470516971908	0.605234961509	0.602633550875	0.555363996699	0.547256210575	0.418914703151	0.42803876923	0.561598966676	0.491124299579	0.523075843113	0.575615672008
POU5F1	0.741730200005796	0.784384564549	0.404981158141	0.436146052297	0.898287311906	0.917408308174	0.91134438076	0.863326610712	0.863232661852	0.810391350242	0.839116156015	0.883855539538	0.8	0.867172303923	0.865065206375
RAD21	0.427098709870987	0.360841611088	0.244540443484	0.461567519306	0.555722291439	0.582592015398	0.576063447155	0.457931816951	0.45313389938	0.433834238901	0.570912891885	0.500219023764	0.468247382989	0.460234560585	0.46123815403
REST	0.630490940569716	0.259801798156	0.19306389854	0.61730825488	0.38195964792	0.405370465435	0.395031428993	0.32588808999	0.326025666306	0.372394334676	0.215182725495	0.352972266803	0.8	0.443380887938	0.326170803827
RFX5	0.542870944807892	0.529080892355	0.216053898589	0.362374984965	0.658419509518	0.678437532997	0.669924731904	0.604027216856	0.603870262125	0.599860299274	0.499473856899	0.631541364814	0.57715462085	0.606361484982	0.605010009689
