FACTOR(CELL)	PROTECTION SCORE	HINT-BC AUC
ATF3(H1-hESC)	1.0857078415	0.994279136
BACH1(H1-hESC)	-0.7947128324	0.859413995
BRCA1(H1-hESC)	-0.8406040556	0.9997581872
CEBPB(H1-hESC)	-0.3055890626	0.8278799716
CTCF(H1-hESC)	2.3965973551	0.9421194604
EGR1(H1-hESC)	1.9877053767	0.974260259
FOSL1(H1-hESC)	-0.5740943132	0.999135021
GABPA(H1-hESC)	1.5932044381	0.9961931708
C-jun(H1-hESC)	0.7148022064	0.9953445939
JunD(H1-hESC)	-0.5545223029	0.9638641317
MAFK(H1-hESC)	-0.8751300206	0.7464835414
MAX(H1-hESC)	0.1720068392	0.969666524
Myc(H1-hESC)	0.4328494443	0.9922187255
NRF1(H1-hESC)	4.4033867057	0.9407599462
POU5F1(H1-hESC)	-0.8395026141	0.9824582462
RAD21(H1-hESC)	2.3965973551	0.9177283704
REST(H1-hESC)	-0.5651436772	0.8230075948
RFX5(H1-hESC)	-0.0764560242	0.9206711318
RXRA(H1-hESC)	-0.4833063071	0.9878088938
SIX5(H1-hESC)	-0.0595938538	0.9841962984
SP1(H1-hESC)	2.408570406	0.9832833685
SP2(H1-hESC)	2.0790371056	0.9927974528
SP4(H1-hESC)	2.9779495698	0.9791577924
SRF(H1-hESC)	-0.9066810335	0.8865214666
TCF12(H1-hESC)	0.1544050027	0.9706679252
USF1(H1-hESC)	1.0857078415	0.8924434985
USF2(H1-hESC)	0.9953449253	0.9815221432
YY1(H1-hESC)	0.4404557448	0.9597535508
ZNF143(H1-hESC)	-0.0595938538	0.9800108289
BRCA1(HeLa-S3)	-0.1496963464	0.9977705738
CEBPB(HeLa-S3)	0.9563223066	0.9127816593
CTCF(HeLa-S3)	1.8028872912	0.9450836655
E2F4(HeLa-S3)	1.3062043627	0.9891359963
E2F6(HeLa-S3)	0.7713863358	0.9982213636
ELK1(HeLa-S3)	1.8502662619	0.9982466216
C-fos(HeLa-S3)	2.0082193417	0.9932099675
GABPA(HeLa-S3)	1.5634323849	0.9916504475
C-jun(HeLa-S3)	1.476606874	0.9737051158
JunD(HeLa-S3)	2.0569706145	0.9514055866
MAFK(HeLa-S3)	0.3393107817	0.7752346565
MAX(HeLa-S3)	0.2996427736	0.9930779536
Myc(HeLa-S3)	0.367005608	0.9978050894
NF-YA(HeLa-S3)	0.3658857771	0.9826541422
NF-YB(HeLa-S3)	0.2027757693	0.895977827
NRF1(HeLa-S3)	2.9092924339	0.9871382271
RAD21(HeLa-S3)	1.8028872912	0.9432450461
REST(HeLa-S3)	-0.2655358381	0.8231841999
STAT1(HeLa-S3)	0.3400980641	0.8798518249
USF2(HeLa-S3)	1.297160949	0.9653237947
ZNF143(HeLa-S3)	0.1645971579	0.9942071988
ARID3A(HepG2)	-0.1034094012	0.9850443715
ATF3(HepG2)	2.5410539506	0.9988182981
BHLHE40(HepG2)	0.8267131642	0.990943554
BRCA1(HepG2)	-0.0251098673	0.979697734
CEBPB(HepG2)	1.124608018	0.9560876829
CTCF(HepG2)	1.9769069336	0.952219228
ELF1(HepG2)	0.7490661351	0.9859084642
GABPA(HepG2)	1.5731145903	0.988742101
C-jun(HepG2)	1.3365282864	0.7521723851
JunD(HepG2)	0.6253998607	0.9702811182
MAFF(HepG2)	-0.1165026442	0.6717769907
MAFK(HepG2)	-0.1147035367	0.6428042047
MAX(HepG2)	0.307372763	0.9836079669
Myc(HepG2)	0.3679626647	0.9992290846
NRF1(HepG2)	2.8171894619	0.9856378426
RAD21(HepG2)	1.9769069336	0.9499631257
REST(HepG2)	-0.1892243581	0.911396181
RXRA(HepG2)	0.4859649187	0.9854964263
SP1(HepG2)	1.8760160544	0.9918387549
SP2(HepG2)	1.6308765255	0.9792082667
SRF(HepG2)	-0.1680146777	0.9230319179
USF1(HepG2)	1.2477181964	0.9390319951
USF2(HepG2)	1.1640389042	0.9159620057
YY1(HepG2)	0.8872191298	0.9907730106
CTCF(Huvec)	0.8208033234	0.9333450538
C-fos(Huvec)	1.0949267836	0.9577444211
GATA2(Huvec)	-0.1451467947	0.9496337059
C-jun(Huvec)	0.6399422403	0.9659601003
MAX(Huvec)	0.0121307936	0.9440373251
Myc(Huvec)	0.0012286923	0.9982125489
ARID3A(K562)	-1.4381927167	0.9963755842
ATF1(K562)	6.1763393653	0.9837177611
ATF3(K562)	7.3200711531	0.999307792
BACH1(K562)	1.2435414467	0.9422949263
BHLHE40(K562)	1.9463663301	0.9587853123
CCNT2(K562)	3.8323965517	0.9970590946
CEBPB(K562)	0.551555731	0.894251003
CTCF(K562)	5.8316682643	0.9708683175
CTCFL(K562)	5.8316682643	0.9905132844
E2F4(K562)	3.6086190854	0.9936265915
E2F6(K562)	2.0495677754	0.9928541584
eGFP-FOS(K562)	1.8543656562	0.9886690143
eGFP-GATA2(K562)	2.0361746852	0.9872335333
EGR1(K562)	4.0601833501	0.9504034352
eGFP-JunB(K562)	1.8616889227	0.9858779922
eGFP-JunD(K562)	1.9810920431	0.9846348252
ELF1(K562)	1.5961660805	0.9755612329
ELK1(K562)	4.1612547104	0.9980052053
ETS1(K562)	0.5490044439	0.9994307497
C-fos(K562)	1.8543656562	0.9978894795
FOSL1(K562)	1.9467956204	0.9894954375
GABPA(K562)	3.8110922543	0.9877588339
GATA1(K562)	2.9889706087	0.9979420433
GATA2(K562)	2.0361746852	0.9938654469
IRF1(K562)	-1.2874215707	0.9485068224
C-jun(K562)	3.1084971471	0.9960929167
JunD(K562)	1.9810920431	0.9808490372
MAFF(K562)	0.6336577632	0.7941725395
MAFK(K562)	0.9569270369	0.8129597654
MAX(K562)	0.673351091	0.9929463635
MEF2A(K562)	-1.8971515105	0.9839095808
Myc(K562)	1.5041713832	0.9995487512
NF-E2(K562)	1.3526919288	0.9950173228
NF-YA(K562)	6.8575988351	0.9575615435
NF-YB(K562)	5.2088653292	0.8632150215
NR2F2(K562)	-0.6231466345	0.9809880234
NRF1(K562)	11.1818612188	0.9877892753
PU.1(K562)	0.4488768789	0.897537324
RAD21(K562)	5.8316682643	0.9918814852
REST(K562)	-0.6111713109	0.8867864592
RFX5(K562)	0.3792996326	0.9380282209
SIX5(K562)	-0.0263481294	0.9955327521
SMC3(K562)	5.8316682643	0.9950661435
SP1(K562)	4.9231730158	0.9963555371
SP2(K562)	4.2711958826	0.9976856381
SRF(K562)	-0.7800555287	0.9615768314
STAT1(K562)	1.243482916	0.9837535491
STAT2(K562)	-0.7035265028	0.976672735
STAT5A(K562)	1.2306965724	0.9798497607
TAL1(K562)	3.8323965517	0.9853867441
THAP1(K562)	1.0848874976	0.9925700898
TR4(K562)	0.8220455653	0.9884081546
USF1(K562)	2.1380331027	0.9725968179
USF2(K562)	2.2351591933	0.9974735912
YY1(K562)	1.203751237	0.9910675846
ZBTB33(K562)	2.9786786819	0.9056670085
ZBTB7A(K562)	0.3884811877	0.9947138919
ZNF143(K562)	-0.0263481294	0.9877985527
ZNF263(K562)	1.3215329867	0.9038955733
ER-160m(MCF-7)	-0.5251925496	0.934274356
ER-40m(MCF-7)	-0.5251925496	0.8387540386
ARID3A(HepG2)	-0.8754050924	0.9929101004
ATF3(HepG2)	5.5624663828	0.999795349
BHLHE40(HepG2)	1.456869204	0.9966339241
BRCA1(HepG2)	-0.1357077262	0.9927904556
CEBPB(HepG2)	1.0198344794	0.9689847479
CTCF(HepG2)	3.9107227711	0.913179581
ELF1(HepG2)	0.1566005333	0.9845176334
GABPA(HepG2)	2.545291166	0.9802825338
C-jun(HepG2)	2.1041825245	0.781875608
JunD(HepG2)	0.6599188491	0.9883172916
MAFF(HepG2)	-0.8913040835	0.7022049515
MAFK(HepG2)	-0.6195400123	0.6798726587
MAX(HepG2)	0.2833117069	0.9837675754
Myc(HepG2)	0.7282219488	0.9988861732
NRF1(HepG2)	12.4195370764	0.9826653049
RAD21(HepG2)	3.9107227711	0.9189852044
REST(HepG2)	-0.3806650341	0.8426989526
RXRA(HepG2)	1.0091546574	0.9942454454
SP1(HepG2)	5.7111638922	0.9960325788
SP2(HepG2)	5.930033362	0.966970537
SRF(HepG2)	-1.7847891142	0.9278219295
USF1(HepG2)	1.9405168966	0.9082975231
USF2(HepG2)	1.923489884	0.8888376386
YY1(HepG2)	0.9930005363	0.9857553484
CTCF(Huvec)	5.8600659348	0.975993897
C-fos(Huvec)	4.6693464422	0.9843511781
GATA2(Huvec)	-0.2372204433	0.9909893558
C-jun(Huvec)	2.9624779282	0.9797561994
MAX(Huvec)	0.1780863471	0.976850707
Myc(Huvec)	0.4742837085	0.9992880699
ARID3A(K562)	-0.7163881876	0.9969265689
ATF1(K562)	5.8996209505	0.9900748966
ATF3(K562)	6.2110680569	0.9987331201
BACH1(K562)	2.9635832763	0.9613546242
BHLHE40(K562)	2.8972642963	0.9504208425
CCNT2(K562)	0.661777353	0.9988303418
CEBPB(K562)	1.0572925831	0.8953219117
CTCF(K562)	4.9217265271	0.9701618862
CTCFL(K562)	4.9217265271	0.9711733875
E2F4(K562)	3.4098879606	0.993453807
E2F6(K562)	1.549429945	0.986566048
eGFP-FOS(K562)	3.2453752201	0.98994829
eGFP-GATA2(K562)	2.3480591122	0.9900057437
EGR1(K562)	4.4782653582	0.9490228104
eGFP-JunB(K562)	3.2353422059	0.9915969565
eGFP-JunD(K562)	3.3777243758	0.9908826821
ELF1(K562)	0.1406835841	0.969932249
ELK1(K562)	2.6391062396	0.9973929806
ETS1(K562)	-0.2442813751	0.9987184768
C-fos(K562)	3.2453752201	0.9974730112
FOSL1(K562)	3.3840073275	0.9933392123
GABPA(K562)	2.3665107346	0.9749402237
GATA1(K562)	2.8267581807	0.9972330945
GATA2(K562)	2.3480591122	0.9897328819
IRF1(K562)	-0.771626288	0.9395770257
C-jun(K562)	3.0785393163	0.9984395138
JunD(K562)	3.3777243758	0.9895679925
MAFF(K562)	1.5147253433	0.8083482518
MAFK(K562)	1.6952095515	0.8244085157
MAX(K562)	1.0117612834	0.9917101535
MEF2A(K562)	-1.0193496377	0.9895139085
Myc(K562)	1.3782058499	0.9988506305
NF-E2(K562)	2.7608219094	0.9961781175
NF-YA(K562)	1.032178431	0.9332092433
NF-YB(K562)	0.2834570069	0.8165835745
NR2F2(K562)	0.2621275107	0.9805187112
NRF1(K562)	8.7681738789	0.9893441497
PU.1(K562)	-0.630267606	0.9309306993
RAD21(K562)	4.9217265271	0.9954607594
REST(K562)	-0.1324114903	0.8675261084
RFX5(K562)	0.5860662876	0.9438563075
SIX5(K562)	0.3741782993	0.9905566121
SMC3(K562)	4.9217265271	0.9928668923
SP1(K562)	4.6054533627	0.9953151106
SP2(K562)	5.2934438255	0.9937630842
SRF(K562)	-0.8009670043	0.9636014586
STAT1(K562)	-0.5327704978	0.9835292105
STAT2(K562)	-0.7031312815	0.9712197141
STAT5A(K562)	-0.6511337156	0.9887932097
TAL1(K562)	0.661777353	0.9937034836
THAP1(K562)	0.7970239273	0.9943542201
TR4(K562)	1.0348513238	0.9725573648
USF1(K562)	2.5808533396	0.9547397786
USF2(K562)	2.5631027258	0.9936345184
YY1(K562)	1.1859547304	0.9847727631
ZBTB33(K562)	6.7235896952	0.9403882284
ZBTB7A(K562)	1.5905171556	0.973203071
ZNF143(K562)	0.3741782993	0.9817629845
ZNF263(K562)	0.0774150997	0.8557095426
AR-R1881(LNCaP)	-0.7128715792	0.7516125627
AR-ethl(LNCaP)	-0.7128715792	0.8832742247
GR(m3134)	-1.193994384	0.9427515616
