ks_pvalue_flr_method	ks_pvalue_flr_corr	ks_pvalue_fos_method	ks_pvalue_fos_corr	ks_pvalue_protection_method	ks_pvalue_protection_corr	ks_pvalue_tc_method	ks_pvalue_tc_corr	ks_stat_flr_method	ks_stat_flr_corr	ks_stat_fos_method	ks_stat_fos_corr	ks_stat_protection_method	ks_stat_protection_corr	ks_stat_tc_method	ks_stat_tc_corr
HINTBC	0.948641012396	FLR_95	0.949818957675	FS	0.849349350963	HINTBC	0.856317492534	HINTBC	0.90217177189	HINTBC	0.852822646837	HINTBC	0.887500410388	HINTBC	0.852822646837
Protection	0.947188918846	FLR_99	0.949595230569	Cuellar_95	0.843678620875	PWM	0.846252904959	HINTBCN	0.884217308513	HINTBCN	0.850557306543	FLR_90	0.812883712532	Centipede_95	0.579689090252
Cuellar_99	0.936635586403	HINTBCN	0.94428973482	FLR_99	0.821317598608	Centipede_85	0.846161560567	Dnase2Tf	0.878718112873	Dnase2Tf	0.832898322335	PIQ_90	0.749482911455	HINTBCN	0.558833185594
Cuellar_85	0.934093086224	Centipede_99	0.926778232813	PIQ_85	0.815902210898	Cuellar_90	0.845451791881	HINT	0.869632128435	FLR_90	0.799521487902	HINTBCN	0.732263042122	Dnase2Tf	0.557105453232
FLR_99	0.927338697657	FLR_80	0.923263357669	Cuellar_99	0.814228990989	Cuellar_80	0.845451791881	FLR_90	0.86091138908	Neph	0.794371121836	Dnase2Tf	0.70408992416	FLR_90	0.512804097311
PIQ_80	0.925757216614	Centipede_95	0.922540985731	FLR_85	0.813246550823	Cuellar_95	0.845451791881	FLR_95	0.859639187104	HINT	0.792787025181	HINT	0.663367149283	FLR_95	0.445492301126
Centipede_99	0.92409768996	Centipede_85	0.920494955741	HINT	0.813007114629	Cuellar_85	0.845451791881	PIQ_90	0.852486128895	FLR_95	0.785609343708	Neph	0.648745034308	PIQ_90	0.432585606881
FLR_95	0.922382242404	PIQ_95	0.920199572594	Centipede_99	0.81128140582	Centipede_95	0.845451791881	PIQ_95	0.848201680948	PIQ_95	0.779868019305	FLR_95	0.639892970879	PIQ_95	0.428251912407
Centipede_80	0.921702304318	Cuellar_80	0.919893683427	TC	0.810639149754	FLR_90	0.845451791881	Neph	0.841614957812	PIQ_90	0.767141895663	PIQ_95	0.634003906891	HINT	0.400641025641
Cuellar_80	0.919595162499	HINT	0.917401337958	PIQ_99	0.805635467672	FLR_95	0.845451791881	Wellington	0.841023999475	Wellington	0.767063921993	Wellington	0.617239567944	Neph	0.372763386848
Cuellar_95	0.917882581819	PIQ_90	0.916947379888	Cuellar_85	0.800716873343	HINTBCN	0.845451791881	Boyle	0.837835286779	Centipede_90	0.764154272957	Boyle	0.607041432746	PIQ_85	0.366065859024
PIQ_90	0.914757598443	Cuellar_85	0.901424866214	Centipede_85	0.792701314072	Protection	0.845451791881	Centipede_90	0.82688203815	Centipede_95	0.764084507042	Centipede_90	0.605494270987	FLR_99	0.363931842805
Wellington	0.913804987027	Boyle	0.8998694967	Cuellar_90	0.790989526905	PIQ_90	0.845451791881	Centipede_95	0.826471650415	Centipede_99	0.743068551167	Centipede_95	0.604780196329	FLR_85	0.332229390328
TC	0.913355243139	Cuellar_99	0.898983059194	Protection	0.79094856289	PIQ_80	0.84467718653	PIQ_85	0.826422403887	FLR_99	0.739736202764	PIQ_85	0.582315571752	PIQ_99	0.290776125283
HINT	0.912254768763	FLR_85	0.897768311501	PIQ_95	0.790784333038	HINT	0.84433502973	FLR_99	0.823980596868	FLR_80	0.739321711153	FLR_99	0.574969631308	PIQ_80	0.283175744443
FLR_80	0.911319885554	PIQ_85	0.888534587478	Neph	0.790777456932	PIQ_95	0.84433502973	FLR_85	0.823303457106	PIQ_85	0.739292984011	FLR_85	0.516189796119	Wellington	0.281017104961
Dnase2Tf	0.91016818991	PIQ_80	0.885978935495	Cuellar_80	0.789810491729	FS	0.839898134149	PIQ_99	0.8218917233	PIQ_99	0.737097409633	PIQ_99	0.512849239962	Boyle	0.277138940871
Cuellar_90	0.908939065629	TC	0.880505220154	Centipede_80	0.787840912045	PIQ_99	0.838594327605	PIQ_80	0.809218950064	PIQ_80	0.725475228996	PIQ_80	0.508724843232	Centipede_85	0.260600315178
HINTBCN	0.908055065186	Centipede_90	0.877388456614	PIQ_90	0.787148973505	TC	0.835930887429	Centipede_85	0.7914614728	Centipede_85	0.688716799632	Centipede_85	0.503443153091	Centipede_99	0.243257329525
PIQ_95	0.905020446991	Neph	0.877382394235	Centipede_95	0.785881905261	FLR_80	0.831044493966	Centipede_99	0.789557273712	Boyle	0.668053777209	Centipede_99	0.497151909124	Centipede_90	0.235115236876
PIQ_85	0.901147965203	Wellington	0.874735893232	Centipede_90	0.783293867558	Boyle	0.82038276003	FLR_80	0.778091040415	FLR_85	0.659706490692	FLR_80	0.477445090121	FLR_80	0.230416297318
FLR_90	0.898593725575	PIQ_99	0.868458177523	PWM	0.782552757963	Cuellar_99	0.78604413864	TC	0.776350996421	TC	0.612236941462	TC	0.470628549854	TC	0.211604123576
PIQ_99	0.892775156865	Centipede_80	0.864997329658	HINTBC	0.778025378377	Dnase2Tf	0.755759052293	Centipede_80	0.754551199974	Centipede_80	0.611432581503	Centipede_80	0.442081979054	Centipede_80	0.180238189041
Centipede_85	0.887608677673	FLR_90	0.858239265559	FLR_90	0.771214889711	Centipede_80	0.74472117641	Protection	0.709724547753	Cuellar_90	0.607665222102	Cuellar_90	0.428658196264	Cuellar_90	0.172371056174
FS	0.874946649595	HINTBC	0.856317492534	Dnase2Tf	0.770879587647	Centipede_99	0.737577368988	PWM	0.689123083489	Cuellar_80	0.602958074789	Cuellar_80	0.405500016416	Cuellar_80	0.146709511146
FLR_85	0.859154929577	Dnase2Tf	0.855932385255	FLR_80	0.769163548277	Wellington	0.71442832417	Cuellar_90	0.688220230474	Cuellar_85	0.550457171936	Cuellar_85	0.367444761811	Cuellar_85	0.127253028661
Centipede_95	0.857287665386	FS	0.852129091566	Wellington	0.768918874553	PIQ_85	0.676429790866	Cuellar_80	0.682856462786	Cuellar_95	0.504382941003	Cuellar_95	0.325265110476	Cuellar_95	0.118540497062
Centipede_90	0.856553071342	Cuellar_90	0.845818552087	FLR_95	0.765898420828	Neph	0.675875767425	Cuellar_85	0.669814340589	Cuellar_99	0.492210840802	Cuellar_99	0.31436931613	Cuellar_99	0.0698849272793
Boyle	0.852933451525	PWM	0.806146524988	PIQ_80	0.740138382744	FLR_99	0.67148051479	Cuellar_95	0.588676581634	Protection	0.326886142027	Protection	0.293419022292	Protection	0.0669875898749
Neph	0.851562756492	Cuellar_95	0.803693903787	Boyle	0.726928001576	FLR_85	0.657839226501	Cuellar_99	0.58648921501	FS	0.18079631636	PWM	0.211805213566	PWM	0.00698890311566
PWM	0.840700210781	Protection	0.78663033353	HINTBCN	0.726415016908	Centipede_90	0.655619028858	FS	0.468576611182	PWM	0.130265274631	FS	-0.283266029745	FS	-0.160084047408
