FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ARID3A	0.804489951189	6.69909170502e-24	0.871565267792	8.4834612794e-11
ATF1	0.572760525111	4.76564872441e-10	0.486574544111	0.000453739384596
ATF3	0.708001126681	1.76425601692e-16	0.558918597624	0.000395338022431
BACH1	0.550693934733	2.91869004349e-09	0.526908817838	0.000119352668445
BHLHE40	0.352206872029	0.000326068082406	0.556497758756	0.000192288600633
CCNT2	0.37293172437	0.000132781109895	0.389719461063	0.00298794096633
CEBPB	0.797313303732	3.25190566698e-23	0.818498509602	1.10723942428e-10
CTCF	0.307857401676	0.00183376434046	0.229385958577	0.0890163289451
CTCFL	0.271118596715	0.00636423318567	0.231412818889	0.0861517757587
E2F4	0.542605229396	5.4907319918e-09	0.585179777252	7.30887059435e-05
E2F6	0.75974721118	5.02621965896e-20	0.78629307773	1.82299923129e-09
EFOS	0.819449210413	1.99537449125e-25	0.879885962161	7.62836167832e-14
EGATA	0.342886712932	0.000478960179223	0.339397592194	0.0182770856724
EGR1	0.589907143569	1.05946223543e-10	0.620831212969	2.50563330778e-06
EJUNB	0.79636508823	3.98778365591e-23	0.883316996112	4.53686287258e-14
EJUND	0.790771933707	1.30003044472e-22	0.856497525664	1.81186137725e-12
ELF1	0.451732801329	2.38694105894e-06	0.443353746366	0.00257689936314
ELK1	0.833080607504	6.04459466893e-27	0.856385200747	1.83711037064e-12
ETS1	0.741140241619	1.18260688974e-18	0.740316306957	1.81251917014e-09
FOS	0.813434556814	8.51186007591e-25	0.875733478189	1.40138310785e-13
FOSL1	0.820990733128	1.36390470303e-25	0.884037617407	4.05939431988e-14
GABP	0.501515517965	1.06593526433e-07	0.510862086336	0.000756125786594
GATA1	0.286378844901	0.00387032759987	0.281281374737	0.0787030306244
GATA2	0.353671397066	0.000306618173118	0.351781676472	0.0142102633998
IRF1	0.88351372027	4.77230337545e-34	0.886695448324	4.33668897376e-21
JUN	0.639736811	7.78868244927e-13	0.577948922106	3.9861510283e-05
JUND	0.800851548532	1.50438320347e-23	0.866760086666	4.85847183754e-13
MAFF	0.646558253301	3.70348797164e-13	0.639467550786	1.12668118995e-07
MAFK	0.64867606711	2.92895277055e-13	0.676783484361	1.28509484168e-07
MAX	0.833882366455	4.87309567895e-27	0.883077402192	4.70698238471e-14
MEF2A	0.628077659486	2.66081460133e-12	0.634151788444	1.30340188747e-06
MYC	0.719320467948	3.46055630282e-17	0.778648004324	3.30633955517e-09
NFE2	0.516392377121	3.81014090744e-08	0.337113773284	0.0191256529022
NFYA	0.795351519686	4.95353527026e-23	0.841942283436	4.32310624663e-16
NFYB	0.899423995068	5.30803375064e-37	0.926864319162	3.3594080947e-21
NR2F2	0.876712177165	6.49589736838e-33	0.876453890867	3.32369719211e-16
NRF1	0.0716841487793	0.478484879446	-0.00805476495106	0.960657783565
PU1	0.484821088307	3.1949355524e-07	0.486925582778	0.000448810070269
RAD21	0.303927816463	0.00211115244005	0.195170872056	0.149447013163
REST	0.892604542152	1.11609907202e-35	0.898161841078	2.31393434219e-22
RFX5	0.933758480067	1.59750530526e-45	0.952600564939	2.06663258603e-25
SIX5	0.860544873258	1.81381855834e-30	0.902929916005	6.16328998785e-23
SMC3	0.312512579714	0.00154807828849	0.214333655472	0.112683434595
SP1	0.616626462115	8.46718529163e-12	0.596086013542	4.93756523782e-05
SP2	0.52729910738	1.73596380602e-08	0.475637959072	0.000634001640182
SRF	0.798682081359	2.41778859461e-23	0.842221115675	4.13742206691e-16
STAT1	0.88937809234	4.39373043183e-35	0.916106524172	1.15344720492e-16
STAT2	0.815539170494	5.15457730896e-25	0.816636830385	1.48287632952e-12
STAT5A	0.841167575964	6.51855096751e-28	0.911735341226	2.91220628327e-16
TAL1	0.434047420819	6.43369120716e-06	0.453306967832	0.000450745272631
TBP	0.816193817145	4.4042168331e-25	0.827543291311	4.10143752475e-13
THAP1	0.826501314675	3.39528247637e-26	0.874302409211	3.26988360186e-12
TR4	0.784075837973	5.10732326598e-22	0.821347280407	8.60330068804e-13
USF1	0.475686665311	5.6857952499e-07	0.565782220752	0.000141967417134
USF2	0.266383809419	0.00738566445907	0.318309253985	0.0453137641757
YY1	0.921995229724	3.61017046938e-42	0.950086406392	7.28846069534e-23
ZBTB33	0.296810180202	0.00271163000626	0.260122641453	0.0741712679535
ZBTB7A	0.785072235819	4.17939599395e-22	0.782394194657	5.11352336695e-11
ZNF143	0.880712259021	1.42602795264e-33	0.91537138114	1.37627262718e-24
ZNF263	0.907998758355	8.32589685646e-39	0.907561253857	1.59435623427e-23
