FACTOR	PEARSON	DNASE	D13	DNASES	D13S	TC	FOS	PWM	HMM	HMM_BC
ARID3A	0.701877408486	0.528752642171	0.589073391485	0.530929335209	0.598889206637	0.936607775584	0.142574238354	0.0203251208184	0.344339948314	0.195141247671
ATF3	0.734264717557	0.887644012187	0.862304316325	0.847187089685	0.764807189371	0.984228740448	0.354844847353	0.577021470848	0.70552942088	0.71812800412
BHLHE40	0.814807378899	0.640927952345	0.598088218083	0.585263130319	0.637374833671	0.913156874765	0.193437185608	0.202921327664	0.39794758196	0.423011358833
BRCA1	0.705661944413	0.388601969733	0.50178156778	0.397990231404	0.796779165666	0.923026263111	0.136372007366	0.0	0.066318360157	0.0664244535191
CEBPB	0.728847697245	0.47461885028	0.500316173654	0.417830981299	0.442305120261	0.785776144755	0.2373395915	0.115008733965	0.352227003156	0.289256040015
CTCF	0.373634389206	0.59661903705	0.440265146183	0.420439836706	0.12077336667	0.429955554906	0.32364411464	0.474484819533	0.577338527434	0.541886826354
ELF1	0.85090059157	0.592312913855	0.566146468752	0.527302464855	0.619508402817	0.8656831785	0.140879886317	0.172827954511	0.393749591973	0.359302265155
GABP	0.832013013744	0.626881487803	0.496119532335	0.619670895432	0.557405392431	0.838441930416	0.0952424325424	0.255005279395	0.394805506951	0.414602346169
JUN	0.57242781181	0.465552515948	0.282289740148	0.208714440036	0.234124699384	0.36087630155	0.171616203202	0.328042154983	0.420923644945	0.404827470493
JUND	0.90202015239	0.624367434629	0.571259480096	0.59545595826	0.457186872324	0.821386614544	0.186110558577	0.13412364931	0.472297436044	0.384866464542
MAFF	0.923040691387	0.363419807787	0.180988309511	0.0770382202376	0.122883160676	0.171407268425	0.086298326856	0.338837342043	0.357722743336	0.353690513559
MAFK	0.942258151019	0.29396952422	0.146095161806	0.0572120584084	0.0988858993357	0.131083195903	0.0803803113654	0.283437559447	0.29164884153	0.290454385892
MAX	0.909570586762	0.488565152247	0.448129866878	0.488585087896	0.663422018584	0.892479693424	0.208094339965	0.0464626125047	0.282583132363	0.265652347485
MYC	0.902963101927	0.578649095631	0.505294887578	0.576661573762	0.740074224662	0.957195041908	0.159472893462	0.0785648241852	0.32838181045	0.313666444415
NRF1	0.438618944055	0.631254548426	0.627558575663	0.654083767871	0.383428840688	0.690212750722	0.352086607067	0.488748411598	0.414520638368	0.505754086945
P300	0.80440522997	0.67732811488	0.345742977469	0.687490253129	0.438614746678	0.881503102521	0.154157463396	0.0686870314431	0.468331710359	0.437688132766
RAD21	0.375313249186	0.60336306478	0.45185083207	0.438561547266	0.117390504883	0.437486510734	0.333675815005	0.470832897149	0.582280377524	0.545908134459
REST	0.775954434439	0.675251701333	0.302750394894	0.245698258183	0.142458830193	0.327630536504	0.162013218754	0.706276455882	0.695703486816	0.697764200702
RXRA	0.886339382183	0.665691743118	0.390736277922	0.667582679627	0.448880356402	0.868887807114	0.231163122163	0.123576966383	0.500804303969	0.4344716803
SP1	0.50696245012	0.659503896303	0.395333484301	0.700937828477	0.549921204024	0.846763103275	0.380273268852	0.177432055422	0.425039704584	0.509436029463
SP2	0.384355553831	0.54893008161	0.360058744912	0.577984019769	0.439058717836	0.686545617308	0.24136187511	0.199115340067	0.379086999568	0.453742692319
SRF	0.599988410205	0.557557144261	0.590080760759	0.342353182313	0.481624946204	0.68655694313	0.125220994499	0.322261275574	0.476538361323	0.441410598927
TBP	0.691891078721	0.610480959365	0.768042178925	0.543731926632	0.856352889372	0.987964162703	0.303523715136	0.191160145999	0.473362017717	0.437184864334
USF1	0.732592434738	0.451314123569	0.473247693452	0.272646844417	0.331436745105	0.55390675317	0.178305220826	0.272995991712	0.368922775143	0.356725383299
USF2	0.636234638537	0.537656732561	0.45505081611	0.37840860872	0.371825412466	0.604021383731	0.195661750846	0.286092923488	0.409692455016	0.41222926351
YY1	0.921427068118	0.633306971618	0.745797140927	0.411894415252	0.699472688287	0.917810392658	0.220128201062	0.417223668086	0.527353767399	0.490163661383
