FACTOR	PEARSON	DNASE	D13	DNASES	D13S	TC	FOS	PWM	HMM	HMM_BC
BRCA1	0.524652813613	0.842263117644	0.622660127201	0.872310652071	0.789290687929	0.947890152399	0.290637564883	0.0261135711995	0.677724127124	0.703100991943
CEBPB	0.780834562013	0.331300075248	0.453426560366	0.247333051033	0.389674624062	0.554145872236	0.261050691109	0.130313076725	0.340422144515	0.256071327828
CTCF	0.208417173596	0.595179987217	0.551996677997	0.423200975623	0.229707635738	0.569817999536	0.26779384007	0.488010667995	0.50860134928	0.596643297173
E2F4	0.589728094858	0.392502052571	0.311515535392	0.357136644633	0.281376209049	0.643724765171	0.140402084779	0.102734104457	0.369413784818	0.444975943628
E2F6	0.703451929829	0.731644518774	0.521449776548	0.829746839298	0.679935647334	0.900295730167	0.174231953673	0.176264950097	0.627677469939	0.741541756573
ELK1	0.354485103103	0.61039373687	0.416129851141	0.702591607054	0.528035674403	0.888327594182	0.245277386679	0.0759348087598	0.552083444635	0.702535281941
FOS	0.449782591946	0.671744401984	0.485127544509	0.695812996264	0.533888091501	0.796377400402	0.402733746333	0.0956311368301	0.516852768403	0.580253921398
GABP	0.405742008553	0.708527190365	0.552410456286	0.744202040214	0.588605410845	0.878006277333	0.24519186472	0.272582381286	0.642218480203	0.756419660097
JUN	0.541988081978	0.6214102311	0.631437399969	0.578806669521	0.576105922387	0.767486880604	0.351410369598	0.121651493005	0.542722286213	0.505542482626
JUND	0.485269113023	0.564918127356	0.541990122009	0.527282515838	0.449477251303	0.642408181572	0.318705860799	0.159173945303	0.474598993099	0.479629770267
MAFK	0.690486179267	0.444906492958	0.372144550482	0.230235543709	0.290039482964	0.338459065102	0.166284048554	0.310786454319	0.394802072087	0.412678358775
MAX	0.49765798865	0.765204006877	0.625748312396	0.785481873681	0.758259515973	0.907210439305	0.251086396784	0.0700856797426	0.597844289726	0.590565876141
MYC	0.466348578814	0.831936010949	0.599572283857	0.887003808493	0.761834877236	0.95538643009	0.243897405992	0.0759797611998	0.640587874062	0.712857276855
NFYA	0.801940750852	0.820207745589	0.698256925532	0.821778977516	0.764039654372	0.888623988904	0.194458774345	0.0751232747488	0.752956851938	0.796993010907
NFYB	0.876793372232	0.672793187366	0.553564109933	0.572230822004	0.562044873046	0.665232539832	0.16661956377	0.198358200516	0.616681331506	0.644562210678
NRF1	-0.0235385522579	0.692210441338	0.657659152125	0.279308256057	0.227649061422	0.703829952516	0.549923886807	0.480373777053	0.678445200673	0.704110816106
P300	0.874224058166	0.57178854539	0.406084286363	0.581181733099	0.409608681127	0.718796907641	0.112244891778	0.0675291523866	0.488428064609	0.509920799283
RAD21	0.201093084874	0.593785703907	0.564167362653	0.433473729495	0.238926015269	0.583858111867	0.291616881673	0.492864557337	0.502136590604	0.594041663948
REST	0.410442630342	0.476854133158	0.327414615682	0.246910685226	0.154642898921	0.311568234287	0.205871192865	0.668753759804	0.391916293641	0.554416335128
STAT1	0.753382697343	0.490831956663	0.488803973873	0.391192592639	0.429361399427	0.525917546419	0.209179413288	0.205819469172	0.423907207893	0.405322781306
TBP	0.800758458832	0.817190146694	0.776708366349	0.8100605006	0.850791395602	0.943346855064	0.451093642707	0.163146927317	0.736713813179	0.693025056168
USF2	0.305731526429	0.677540607536	0.621300390179	0.600792017988	0.540943347026	0.740234715942	0.303832278393	0.244630680325	0.577926974621	0.585788062193
ZNF143	0.693382155814	0.861916212617	0.705889465121	0.833971284309	0.702032785883	0.910117606813	0.289375188658	0.341312520135	0.778651499814	0.854714304194
