FACTOR	PEARSON	DNASE	D13	DNASES	D13S	TC	FOS	PWM	HMM	HMM_BC
ARID3A	0.838328661336	0.44292979259	0.553466961105	0.442136188445	0.570744482981	0.870542371223	0.374496404448	0.0203251208184	0.551822646179	0.187888080226
ATF3	0.563294935068	0.948572304	0.858525726911	0.949089836206	0.736818039714	0.978460339443	0.671023861416	0.577021470848	0.884837164624	0.727226179727
BHLHE40	0.430878236891	0.78372583559	0.593896102415	0.769684467985	0.602834914924	0.878556820995	0.342035187619	0.202921327664	0.592403819541	0.489347667581
BRCA1	0.480165556738	0.872173512691	0.49160661382	0.9079550004	0.763992313236	0.923881015293	0.336187845304	0.0	0.587438946273	0.264869084795
CEBPB	0.71100853513	0.430113326138	0.488023387442	0.358887261782	0.43423580006	0.727309781666	0.356145751633	0.115008733965	0.485642272556	0.249101090152
CTCF	0.173475227106	0.609067070986	0.521853994535	0.439235966599	0.174146792734	0.60137998943	0.257841838302	0.474484819533	0.494710875011	0.564680517333
ELF1	0.197784560736	0.770120965101	0.564887474118	0.73648945552	0.616704481242	0.860433180496	0.240819068185	0.172827954511	0.602359755742	0.430108635692
GABP	0.476622222353	0.715380541642	0.4874611157	0.74442811421	0.517371913087	0.857296091198	0.241481712814	0.255005279395	0.505825421543	0.455440691815
JUN	0.552327169196	0.440512606188	0.270875768541	0.198566927755	0.220857443761	0.30500028123	0.182070898254	0.328042154983	0.334199524841	0.392353176418
JUND	0.869985846939	0.542893275383	0.53165349937	0.488039707956	0.438098701096	0.706800085818	0.251769472918	0.13412364931	0.522331501447	0.324858766761
MAFF	0.828710975003	0.350323803122	0.178387157387	0.0749048951475	0.121630033291	0.152248618155	0.0843634823361	0.338837342043	0.258130329261	0.348270107018
MAFK	0.853990026636	0.282454290394	0.144172166098	0.0562316385868	0.0974032186449	0.11436989602	0.0737048671435	0.283437559447	0.207621647389	0.286374353593
MAX	0.547958024614	0.732433946652	0.442479916375	0.754437677654	0.675893552364	0.882879469582	0.279368773518	0.0464626125047	0.524011495336	0.36313219521
MYC	0.517338867611	0.827563024624	0.48969826854	0.869622691032	0.729509994404	0.959767032542	0.277601730269	0.0785648241852	0.556606489553	0.437057589419
NRF1	0.078990006551	0.660806563748	0.622335482265	0.256362354814	0.199632962187	0.689692907558	0.548762642857	0.488748411598	0.617700063366	0.478679164938
P300	0.888822475342	0.600427724053	0.322505340652	0.602226591761	0.366782502962	0.770290381367	0.110182935127	0.0686870314431	0.397224192822	0.36532408247
RAD21	0.164381862537	0.599871400144	0.52334315487	0.434718516082	0.169644998497	0.596430069723	0.265829616288	0.470832897149	0.495390344804	0.562414085747
REST	0.41940248378	0.628771867682	0.427255049428	0.364552277906	0.184461594721	0.473746685983	0.301761970966	0.706276455882	0.413213053792	0.671344012058
RXRA	0.645373558457	0.639849115027	0.377963572318	0.6228020086	0.403495739104	0.802329371078	0.2595977682	0.123576966383	0.484812854979	0.401047605014
SP1	0.147848924166	0.557108495055	0.371973949876	0.647939145862	0.434969962829	0.817393036599	0.196022011935	0.177432055422	0.379026771101	0.514379439063
SP2	0.256849527634	0.474680549132	0.353099800514	0.573061596209	0.360255050905	0.743197601443	0.127995711861	0.199115340067	0.350602908851	0.478683747637
SRF	0.834660362623	0.570467039718	0.575528520912	0.347139926714	0.464339430842	0.594657833359	0.214649155032	0.322261275574	0.550884173569	0.435001178739
TBP	0.804086530205	0.857190281953	0.768654908889	0.845883209161	0.831863276125	0.97847406589	0.570870036142	0.191160145999	0.831111272616	0.493969550792
USF1	0.465071813359	0.523038244641	0.490851616162	0.37941695447	0.349603030968	0.5874077912	0.246000384149	0.272995991712	0.458851900486	0.37785032865
USF2	0.401866045832	0.624494027185	0.471855466609	0.50651276754	0.386682126802	0.628504066662	0.298618570473	0.286092923488	0.472471077342	0.45120987256
YY1	0.672457251258	0.857988754386	0.754509987417	0.782614850456	0.706381693676	0.909999329601	0.388256649813	0.417223668086	0.795729246462	0.539983565989
