FACTOR	PEARSON	DNASE	D13	DNASES	D13S	TC	FOS	PWM	BOYLE	NEPH	CUELLAR	PIQUE	HMM	HMM_BC
ARID3A	0.807164217891	0.658854419788	0.710691427495	0.656553601711	0.731749200982	0.940107062557	0.423043649485	0.0131558916663	0.0638265664246	0.398112072865	0.0131558916663	0.919588455418	0.588398508352	0.363298190162
ATF1	0.687256105952	0.694791257263	0.657853285188	0.662766397876	0.621585802223	0.796353696194	0.255555111037	0.267371509538	0.39863890378	0.603094829764	0.409473493112	0.761905577221	0.656403685047	0.613684574423
ATF3	0.612195712301	0.952156022938	0.919953384546	0.952982086063	0.851984628299	0.97919353321	0.679670792382	0.629131975356	0.845500251031	0.937432419011	0.714585390048	0.959999170008	0.925910322619	0.934986693028
BACH1	0.461480035355	0.566310226519	0.511385591854	0.555069301438	0.487800769467	0.666215674082	0.211975460996	0.12592811154	0.233695218942	0.496764418625	0.161394606387	0.637872219837	0.500038058983	0.442388778797
BHLHE40	0.563904599198	0.583975169581	0.566443421572	0.521871056238	0.541635751587	0.681375762472	0.152050523276	0.190189279535	0.294537507791	0.368849387448	0.39696664229	0.539608575999	0.518020325216	0.450279200402
CCNT2	0.620201470932	0.851007287919	0.767768559785	0.844590364204	0.750851061956	0.926619295846	0.199458333099	0.269249662205	0.38696022255	0.819302603321	0.441328968875	0.884603999507	0.77702443234	0.724983785246
CEBPB	0.837443995993	0.314650511504	0.377314735553	0.146209696509	0.290830928899	0.424859322908	0.145032226101	0.208028837782	0.217199608828	0.263958230185	0.300443768362	0.29363452878	0.34017086425	0.26582658574
CTCF	0.226450851928	0.679443093604	0.601510223582	0.501891057341	0.309093635538	0.6586517187	0.156582556054	0.469390373967	0.529854013049	0.556291978563	0.478800365085	0.696444326614	0.629771335874	0.680250792294
CTCFL	0.196114638808	0.65801242238	0.597454348565	0.639140554825	0.466751096203	0.752795256501	0.227268389126	0.411951393452	0.585184370979	0.556956030703	0.414584906237	0.703843869424	0.606095900477	0.662710780736
E2F4	0.518568708304	0.368991083801	0.28017599386	0.403629950026	0.3213378764	0.753895676792	0.0594161347396	0.0862835323004	0.432968107049	0.57217058758	0.0926019341391	0.403350194292	0.349136978226	0.447766229453
E2F6	0.625726673193	0.70945512383	0.536543136615	0.758571334836	0.653331790575	0.833354140097	0.0466177639125	0.163641164392	0.368861483716	0.449334751842	0.20238470056	0.80245162133	0.610824062749	0.670620768693
EFOS	0.755693255944	0.648721115337	0.586299613185	0.628091772467	0.562563336321	0.78808006212	0.0933448208219	0.106655965747	0.207684582537	0.463252875184	0.188279344688	0.757969011809	0.601423720529	0.495497001033
EGATA	0.796900587467	0.68609027647	0.655066037693	0.681450779417	0.688080459838	0.843756892247	0.166767600194	0.078476015958	0.184400419882	0.630073155207	0.305777044501	0.811288146718	0.606294233826	0.504634220606
EGR1	0.763513182781	0.457684320067	0.401623340758	0.433804683542	0.35377700945	0.547062223111	0.0676984083542	0.182182620098	0.331631139893	0.370217271011	0.184644364469	0.52602745528	0.421976217809	0.475354763599
EJUNB	0.69021677181	0.638856122146	0.592569538218	0.616138439698	0.550104324287	0.767221006608	0.0872536487505	0.139574949711	0.226724822899	0.500965539459	0.183143568386	0.741346227721	0.600703952071	0.497539366317
EJUND	0.737108516611	0.636513545166	0.605614497356	0.596031506639	0.549580257471	0.765390643651	0.0964666541025	0.135784120878	0.227992191082	0.483478649365	0.167644143496	0.740421109581	0.601301046742	0.48883370399
