FACTOR	PEARSON	DNASE	D13	DNASES	D13S	TC	FOS	PWM	HMM	HMM_BC
ARID3A	0.804489952509	0.528024417778	0.742809239362	0.534043286996	0.763347896793	0.954155190768	0.165983693383	0.0131558916663	0.309463189683	0.306055022037
ATF1	0.572760493394	0.683947415267	0.693900386504	0.638114464203	0.653072050103	0.850124406626	0.455120853454	0.267371509538	0.549709261991	0.576067508114
ATF3	0.708001066387	0.880365418779	0.919422787773	0.807360391239	0.826042586573	0.970028990712	0.674799813744	0.629131975356	0.832770271954	0.865699284226
BACH1	0.55069392957	0.564068513493	0.503640162728	0.615647838596	0.51141072107	0.696819003677	0.506878541554	0.12592811154	0.410030717799	0.465893064939
BHLHE40	0.352206977236	0.435845730753	0.569309059628	0.332393925543	0.524618813458	0.685494788321	0.244893951867	0.190189279535	0.331230785445	0.353078049753
CCNT2	0.372931711453	0.755643574131	0.739144327809	0.80853732822	0.799079605428	0.94439838567	0.130717042951	0.269249662205	0.54205416305	0.688032256946
CEBPB	0.797313307753	0.329685685606	0.401801866193	0.167950962089	0.31022022569	0.471177540966	0.195308720409	0.208028837782	0.281518612682	0.269608533388
CTCF	0.307857399014	0.708870173874	0.623939509024	0.590571434146	0.260995740886	0.630058717028	0.542784638198	0.469390373967	0.629247442753	0.643134719241
CTCFL	0.271118599956	0.544917755526	0.562582363616	0.514215193398	0.342414340492	0.612620353299	0.507707338932	0.411951393452	0.492623918539	0.519443754601
E2F4	0.542605383823	0.443515868145	0.313026619097	0.469488106938	0.404623218628	0.758253641852	0.196560449296	0.0862835323004	0.259789345659	0.428892727787
E2F6	0.759747353992	0.402720726401	0.569766634724	0.345690867335	0.626263853269	0.790200905202	0.260202625592	0.163641164392	0.280075996226	0.353454986437
EFOS	0.819449202751	0.643249843195	0.605209186226	0.686974063715	0.593085223536	0.795782584555	0.278857778585	0.106655965747	0.473224698313	0.506332127515
EGATA	0.342886682949	0.616984662202	0.630144940525	0.67180264994	0.729381559416	0.880531196011	0.390521750253	0.078476015958	0.409813116012	0.490735162786
EGR1	0.589910442906	0.393723674636	0.430406172707	0.323820624946	0.357620979584	0.563160983956	0.248652211987	0.182182620098	0.32081567144	0.344632198011
EJUNB	0.796365077167	0.640949316167	0.605053399687	0.695506570001	0.594849728991	0.802950712151	0.291385283562	0.139574949711	0.477574216104	0.525409898919
EJUND	0.790771924884	0.658328712094	0.631715760596	0.698512985336	0.599060291872	0.814310354338	0.292831401134	0.135784120878	0.491652212149	0.519788460649
