FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE	DNASE2TF	FLR	PIQ	WELLINGTON
ARID3A	0.80716421887	0.940107062557	0.423043649485	0.0131558916663	0.978733325365	0.981213293802	0.980650598481	0.969258165612	0.969594813834	0.940107062557	0.9507864005	0.97511336615	0.960596336831	0.971179343753	0.970053166275
ATF1	0.687256109933	0.796353696194	0.255555111037	0.267371509538	0.894169523933	0.909614952193	0.904249698251	0.863362542996	0.868593667396	0.679962492819	0.833529004927	0.881736409477	0.840955308929	0.788452269677	0.864891803485
ATF3	0.612195738469	0.97919353321	0.679670792382	0.629131975356	0.993186550729	0.99464209229	0.994582942271	0.992662494652	0.992592649611	0.966062840034	0.987748459457	0.994230006546	0.986204374754	0.994230370322	0.993598490963
BACH1	0.461480034821	0.666215674082	0.211975460996	0.12592811154	0.780649534325	0.792243200671	0.7875811001	0.743678251459	0.749970587012	0.526234881172	0.726372388554	0.765827771335	0.71570853484	0.752101134428	0.745792803591
BHLHE40	0.563904607907	0.681375762472	0.152050523276	0.190189279535	0.794425451252	0.812427446228	0.805224748653	0.754129820962	0.755418599209	0.659676827833	0.595251119733	0.776996705967	0.73089486358	0.757198091846	0.755544199665
CCNT2	0.620201438553	0.926619295846	0.199458333099	0.269249662205	0.979353121665	0.983210199915	0.982051900602	0.967811746533	0.973065102707	0.806702299863	0.950188092309	0.975525218976	0.943484451342	0.971160056352	0.969375080066
CEBPB	0.837443979326	0.424859322908	0.145032226101	0.208028837782	0.545947675158	0.588097850663	0.572939965758	0.494538059741	0.494887582236	0.452782687298	0.471694113228	0.522019376744	0.481615993442	0.496313287021	0.495331886579
CTCF	0.226450856972	0.6586517187	0.156582556054	0.469390373967	0.83083434084	0.836451960319	0.833095202374	0.774573700382	0.778378515573	0.692462680367	0.767933099378	0.808297239363	0.755067188966	0.778738061832	0.777565962585
CTCFL	0.196114634764	0.752795256501	0.227268389126	0.411951393452	0.897677439556	0.925160548396	0.922249605792	0.867204064344	0.849798469476	0.751644988895	0.84349905407	0.897408136196	0.831445435449	0.869750981816	0.865664638996
E2F4	0.518568752189	0.753895676792	0.0594161347396	0.0862835323004	0.773916703552	0.942619846339	0.928083991102	0.848684566705	0.8868867021	0.745387480354	0.586763806367	0.915345638082	0.782082847809	0.887167903532	0.852868250663
E2F6	0.625726742361	0.833354140097	0.0466177639125	0.163641164392	0.944133105155	0.953396719048	0.950779628024	0.917211974688	0.91802857448	0.800537548332	0.889331250943	0.936686758027	0.870323843914	0.923421421519	0.91984875436
EFOS	0.755693271069	0.78808006212	0.0933448208219	0.106655965747	0.909315914224	0.927697633875	0.921801421661	0.870456492483	0.873194383943	0.754938891829	0.850750203118	0.893763667031	0.833261033758	0.874388275684	0.872062987534
EGATA	0.796900563532	0.843756892247	0.166767600194	0.078476015958	0.927536578132	0.938178415065	0.934779618514	0.904140269779	0.908299207564	0.673770642307	0.878368700673	0.918476840415	0.873373872028	0.907678820203	0.905735313158
EGR1	0.763513484225	0.547062223111	0.0676984083542	0.182182620098	0.718567017358	0.776581776935	0.762689038935	0.658936904154	0.667624345717	0.545108832362	0.641177459557	0.701550183087	0.608965045131	0.664256248858	0.659276174705
EJUNB	0.69021680169	0.767221006608	0.0872536487505	0.139574949711	0.894135904018	0.912439158386	0.906249798462	0.853756297887	0.858214220834	0.727936265957	0.832266703086	0.878168569023	0.811146905428	0.858103766941	0.855645921286
EJUND	0.737108537119	0.765390643651	0.0964666541025	0.135784120878	0.886695878878	0.906674120302	0.900007532382	0.846666509508	0.851995045266	0.726452160255	0.827533829576	0.870360559275	0.809642857447	0.850518953363	0.848362809243
ELF1	0.308332265108	0.798724601594	0.0614178446395	0.217162271472	0.88793594539	0.892748765772	0.890077000914	0.860082934198	0.860457701178	0.721810629812	0.797016814446	0.876597131646	0.833070294606	0.863178379276	0.861278721126
ELK1	0.455771814968	0.871913560527	0.0766960629341	0.0726010449629	0.950452655055	0.983131577067	0.981732159267	0.957722553828	0.960783487108	0.863341673301	0.93262008029	0.976039917394	0.903454959588	0.969518407332	0.960544017933
ETS1	0.585564334152	0.966312247066	0.0376112770354	0.12047776321	0.99313480053	0.995586164188	0.995512232568	0.991278951691	0.990146447553	0.89898956273	0.982291794699	0.994372994043	0.965307101982	0.994226464174	0.992098659894
FOS	0.738568124619	0.891597597578	0.09258115969	0.10159702793	0.974272164333	0.981523532932	0.979710214182	0.956069714198	0.958586430663	0.835501511356	0.937619400189	0.969215013546	0.915060794649	0.960796963082	0.958052147623
FOSL1	0.752207666107	0.836402593602	0.0936257983756	0.130203004496	0.933417638601	0.945052284397	0.941470142927	0.906418822838	0.90761324331	0.788061463248	0.888799555602	0.92362913972	0.871721938064	0.910408464792	0.908086981125
GABP	0.463500531325	0.832133613498	0.0748090783298	0.248813927789	0.930482304575	0.940493370563	0.938156399957	0.905508197595	0.902708352307	0.804895316402	0.881988454913	0.922847287218	0.867999491994	0.910598469219	0.907243517855
GATA1	0.838360666041	0.965369821795	0.321160662188	0.108045907871	0.988161130066	0.990059016503	0.989718902579	0.984244583368	0.984490632337	0.865802202815	0.977092946181	0.987297239807	0.966330437571	0.986052398808	0.984926128592
GATA2	0.803147857326	0.911758194132	0.175705637973	0.0745508598858	0.964138135011	0.970973454481	0.968852021884	0.950729825989	0.951060186422	0.767114430889	0.933823122922	0.959199009122	0.939064231793	0.953200801463	0.951761730021
IRF1	0.876927353785	0.635767329535	0.119712170549	0.404981428301	0.76163434574	0.79521119798	0.784159873078	0.714490745681	0.714791850016	0.719000468583	0.690429941899	0.740790935048	0.700981690125	0.717472436398	0.715837790312
