FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE
ATF3	0.60464540015	0.327520068441	0.0794740895465	0.0284750658024	0.702697941928	0.726074183377	0.724202307483	0.587662953674	0.58681950994	0.0314756298231	0.239718696854
BACH1	0.786930672381	0.0311161371836	0.0100198640596	0.00565433158115	0.170477886032	0.174770786319	0.175522163516	0.106124920611	0.100249314217	0.00566446630542	0.0210833231986
BRCA1	0.494134260188	0.405652173913	0.0	0.0	0.845652173913	0.824927536232	0.886811594203	0.756376811594	0.741884057971	0.0	0.271449275362
CEBPB	0.770830153102	0.0193327812195	0.00662311101729	0.00152372601079	0.102085808599	0.10444920778	0.105091761866	0.0637330655762	0.0606483999975	0.00220777885133	0.0121668033419
CTCF	0.32251716358	0.259449412851	0.171056174313	0.366080694334	0.536574555263	0.565203065802	0.577068571227	0.400006488448	0.389218809279	0.372966864443	0.427777455407
EGR1	0.749282409459	0.638603935186	0.13189170092	0.268759379164	0.80922807405	0.822574633259	0.86343727675	0.732383405278	0.723617633993	0.276208468175	0.55634540214
FOSL1	0.682479958608	0.296523783272	0.0144582323511	0.00203871477756	0.723436898657	0.714158666098	0.713180915133	0.587675137041	0.568530981183	0.00375497976888	0.206633104151
GABP	0.534467733279	0.670037861639	0.160896923294	0.24700360132	0.937449950064	0.944064646318	0.957414898046	0.844505910442	0.831378693742	0.301070954885	0.677232881216
JUN	0.761913346455	0.20760260734	0.108706937275	0.00138171020597	0.604478748311	0.644307821155	0.645661845245	0.503576700057	0.489296720753	0.00148120718385	0.151006995935
JUND	0.807218901808	0.0673123882123	0.0112081626952	0.00788877325296	0.308082163083	0.314240452152	0.309050013291	0.195688994914	0.184437018215	0.00872529408319	0.0474434697987
MAFK	0.786973676151	0.0103192681796	0.00495995892031	0.0298798677017	0.0679499877381	0.0691113756868	0.0703026056677	0.0399024208176	0.0377326919144	0.0293188374951	0.00685002534974
MAX	0.425915383186	0.101494749267	0.0202336837829	0.00221900632909	0.417418188039	0.42749075798	0.426788416535	0.276107129307	0.266341057487	0.00264950597711	0.0963746280455
MYC	0.416266944553	0.282506969681	0.0196333272454	0.00155003804639	0.717583799961	0.739528093021	0.733944661995	0.567699329952	0.545874721057	0.00249726318548	0.261078379952
NRF1	0.128305459891	0.703763530136	0.537390576696	0.644362312799	0.724447177075	0.813741917416	0.823163571413	0.778292053448	0.772728849786	0.677813934798	0.499757854867
POU5F1	0.869840977791	0.0402228390798	0.0255752038814	0.0299888550051	0.265401658217	0.290942398267	0.284452047886	0.143758524097	0.136190925572	0.029992656163	0.0287904766297
RAD21	0.316479443453	0.227153559479	0.173950647228	0.370663696507	0.480349758967	0.510627513286	0.521100230793	0.349451935901	0.34005831368	0.378309687697	0.387599546374
REST	0.490044216392	0.107690675126	0.0972729432137	0.500442554224	0.284404024081	0.290424471573	0.311626800748	0.208372092135	0.207459738215	0.500604126001	0.071881277062
RFX5	0.557216721889	0.250392531486	0.060234239221	0.132965651263	0.527950830893	0.53313706759	0.556823322144	0.423190605433	0.42054689546	0.134755553175	0.216991941052
RXRA	0.632870878637	0.126312701343	0.0223131199127	0.00226569448908	0.529206437002	0.537237740023	0.531246963502	0.36801979236	0.336149646085	0.00438096555023	0.0842109590475
SIX5	0.672866028588	0.238228808461	0.0385130111314	0.1204804097	0.623366980056	0.638739915104	0.63770933044	0.499861985369	0.48429051288	0.120724763473	0.165498067371
SP1	0.538431880244	0.630828459322	0.123357360246	0.196349185313	0.836569941133	0.852815693772	0.875806883612	0.754569150791	0.747550737628	0.212404335262	0.591196564624
SP2	0.494158526449	0.778258700465	0.151418868008	0.262962968783	0.926357696261	0.936690282415	0.948270386995	0.864767368856	0.872544232748	0.280163569206	0.385579992357
SP4	0.0596791982171	0.763453496262	0.285005518266	0.230788266297	0.864957143893	0.90832344767	0.896030725711	0.825026559698	0.83466336468	0.263883115355	0.35653283151
SRF	0.758712001764	0.0511076298273	0.00772202877269	0.0412972346006	0.160618440789	0.165838549201	0.16695502359	0.112291193644	0.1081221341	0.0413135909806	0.0225716025779
TCF12	0.720877904814	0.30391959304	0.037371903387	0.0183163560902	0.644890135298	0.659244341648	0.691774434396	0.497294790371	0.487204720022	0.0279540900299	0.267644463454
USF1	0.601909079269	0.0832760308216	0.0202815601268	0.00573999187721	0.225681004063	0.231856357701	0.230646976894	0.166555351128	0.163126334337	0.00618519015667	0.0784915545343
USF2	0.577773081932	0.240347153375	0.0540167850206	0.0175965742628	0.545318630213	0.56448793551	0.560212347313	0.43838341492	0.430540559029	0.0191871468833	0.20353776706
YY1	0.635495552128	0.154440045392	0.0194366400464	0.0418492111909	0.440118940409	0.456198651787	0.454942339678	0.336919782777	0.323996760195	0.041862122455	0.0913566464651
ZNF143	0.689803494665	0.222594254113	0.0253911935361	0.0705791858374	0.622537271527	0.632542962997	0.631526047165	0.484100744996	0.465549091103	0.0707436709548	0.159097975292
