ARID3A	0.80716421887	0.002479968437	0.3515	0.1731	0.1846	0.2908	0.703	0.5246	0.5361	0.6423	0.3462	0.3577	0.4639	0.3691	0.4754
ATF1	0.687256109933	0.01544542826	0.2341	0.2636	0.2687	0.2336	0.4681	0.4977	0.5028	0.4676	0.5273	0.5324	0.4972	0.5375	0.5023
ATF3	0.612195738469	0.001455541561	0.1601	0.3394	0.3422	0.1584	0.3201	0.4994	0.5022	0.3185	0.6787	0.6815	0.4978	0.6843	0.5006
BACH1	0.461480034821	0.011593666346	0.2698	0.2113	0.241	0.2779	0.5395	0.4811	0.5108	0.5477	0.4226	0.4523	0.4892	0.4821	0.5189
BHLHE40	0.563904607907	0.018001994976	0.2168	0.3054	0.2712	0.2066	0.4335	0.5222	0.4879	0.4234	0.6109	0.5766	0.5121	0.5424	0.4778
CCNT2	0.620201438553	0.00385707825	0.2472	0.2655	0.2078	0.2794	0.4945	0.5127	0.4551	0.5267	0.531	0.4733	0.5449	0.4157	0.4873
CEBPB	0.837443979326	0.042150175505	0.2791	0.2201	0.2057	0.2952	0.5581	0.4991	0.4848	0.5743	0.4401	0.4257	0.5152	0.4114	0.5009
CTCF	0.226450856972	0.005617619479	0.2346	0.2666	0.2904	0.2084	0.4693	0.5012	0.525	0.4431	0.5331	0.5569	0.475	0.5807	0.4988
CTCFL	0.196114634764	0.02748310884	0.1885	0.3153	0.3366	0.1595	0.377	0.5038	0.5251	0.348	0.6307	0.652	0.4749	0.6733	0.4962
E2F4	0.518568752189	0.168703142787	0.1686	0.281	0.4381	0.1123	0.3371	0.4496	0.6067	0.2808	0.5621	0.7192	0.3933	0.8763	0.5504
E2F6	0.625726742361	0.009263613893	0.1982	0.2508	0.4299	0.1211	0.3964	0.449	0.6281	0.3193	0.5016	0.6807	0.3719	0.8598	0.551
EFOS	0.755693271069	0.018381719651	0.251	0.2445	0.247	0.2574	0.5021	0.4956	0.4981	0.5084	0.4891	0.4916	0.5019	0.4941	0.5044
EGATA	0.796900563532	0.010641836933	0.2328	0.2537	0.1887	0.3248	0.4656	0.4865	0.4215	0.5576	0.5074	0.4424	0.5785	0.3774	0.5135
EGR1	0.763513484225	0.058014759577	0.1452	0.4728	0.2164	0.1656	0.2904	0.618	0.3616	0.3109	0.9456	0.6891	0.6384	0.4327	0.382
EJUNB	0.69021680169	0.018303254368	0.2654	0.2323	0.2442	0.2581	0.5307	0.4977	0.5096	0.5235	0.4646	0.4765	0.4904	0.4884	0.5023
EJUND	0.737108537119	0.019978241424	0.2587	0.2392	0.2435	0.2587	0.5174	0.4979	0.5022	0.5173	0.4784	0.4827	0.4978	0.487	0.5021
ELF1	0.308332265108	0.004812820382	0.2609	0.2421	0.331	0.166	0.5219	0.503	0.5919	0.4269	0.4842	0.5731	0.4081	0.6619	0.497
ELK1	0.455771814968	0.032678922012	0.1954	0.3116	0.346	0.1471	0.3907	0.507	0.5413	0.3424	0.6232	0.6576	0.4587	0.6919	0.493
ETS1	0.585564334152	0.002451363658	0.1373	0.3777	0.2607	0.2243	0.2746	0.515	0.398	0.3616	0.7553	0.6384	0.602	0.5214	0.485
FOS	0.738568124619	0.007251368599	0.2484	0.2472	0.2497	0.2546	0.4969	0.4957	0.4982	0.5031	0.4944	0.4969	0.5018	0.4994	0.5043
FOSL1	0.752207666107	0.011634645796	0.2425	0.2544	0.2622	0.2409	0.485	0.4969	0.5047	0.4834	0.5088	0.5166	0.4953	0.5243	0.5031
GABP	0.463500531325	0.010011065988	0.1999	0.2977	0.359	0.1434	0.3997	0.4976	0.5589	0.3433	0.5954	0.6567	0.4411	0.7181	0.5024
GATA1	0.838360666041	0.001897886437	0.2009	0.2958	0.2126	0.2907	0.4017	0.4966	0.4135	0.4916	0.5915	0.5084	0.5865	0.4253	0.5034
GATA2	0.803147857326	0.00683531947	0.2168	0.2767	0.2054	0.3011	0.4336	0.4935	0.4222	0.5179	0.5535	0.4821	0.5778	0.4108	0.5065
IRF1	0.876927353785	0.03357685224	0.1903	0.2384	0.1584	0.4129	0.3805	0.4287	0.3486	0.6032	0.4769	0.3968	0.6514	0.3168	0.5713
JUN	0.70375016811	0.006796708237	0.2372	0.2502	0.2784	0.2341	0.4744	0.4874	0.5157	0.4714	0.5004	0.5286	0.4843	0.5569	0.5126
JUND	0.744622666669	0.021244120273	0.2552	0.2431	0.2468	0.255	0.5104	0.4982	0.502	0.5101	0.4861	0.4899	0.498	0.4936	0.5018
MAFF	0.627273230589	0.021875060961	0.3096	0.205	0.1844	0.301	0.6192	0.5146	0.494	0.6106	0.41	0.3894	0.506	0.3688	0.4854
MAFK	0.607781675024	0.019771673493	0.3064	0.2112	0.1884	0.294	0.6129	0.5176	0.4949	0.6004	0.4224	0.3996	0.5051	0.3769	0.4824
MAX	0.45307600016	0.004137705567	0.2368	0.264	0.2912	0.2081	0.4735	0.5008	0.528	0.4448	0.528	0.5552	0.472	0.5824	0.4992
MEF2A	0.817226869474	0.008838889529	0.3286	0.2093	0.2031	0.2589	0.6573	0.5379	0.5318	0.5876	0.4186	0.4124	0.4682	0.4063	0.4621
MYC	0.266216093732	0.001469200907	0.1846	0.3161	0.2957	0.2035	0.3692	0.5007	0.4804	0.3881	0.6322	0.6119	0.5196	0.5915	0.4993
NFE2	0.563238926177	0.006497965407	0.2786	0.2402	0.2317	0.2495	0.5572	0.5188	0.5103	0.5281	0.4805	0.4719	0.4897	0.4634	0.4812
NFYA	0.4442794763	0.008443834025	0.1886	0.2699	0.285	0.2565	0.3772	0.4585	0.4736	0.4451	0.5398	0.5549	0.5264	0.57	0.5415
NFYB	0.39409043756	0.009048486775	0.2767	0.2692	0.2557	0.1984	0.5534	0.5459	0.5324	0.4751	0.5384	0.5249	0.4676	0.5114	0.4541
NR2F2	0.592578609471	0.013460235296	0.2816	0.2217	0.2877	0.209	0.5631	0.5033	0.5693	0.4905	0.4435	0.5095	0.4307	0.5755	0.4967
NRF1	0.358511386411	0.288830317587	0.1408	0.3649	0.3608	0.1335	0.2816	0.5057	0.5016	0.2743	0.7298	0.7257	0.4984	0.7216	0.4943
PU1	0.560204927134	0.023015590978	0.3249	0.1679	0.3228	0.1843	0.6498	0.4929	0.6478	0.5092	0.3359	0.4908	0.3522	0.6457	0.5071
RAD21	0.146943213521	-0.095146669009	0.2423	0.2625	0.2778	0.2174	0.4846	0.5048	0.5201	0.4597	0.5251	0.5403	0.4799	0.5556	0.4952
REST	0.610249613624	0.026061939607	0.2419	0.2945	0.2765	0.1871	0.4838	0.5365	0.5184	0.429	0.5891	0.571	0.4816	0.5529	0.4635
RFX5	0.5817831067	0.015157888755	0.2344	0.3022	0.2398	0.2236	0.4687	0.5366	0.4742	0.458	0.6044	0.542	0.5258	0.4797	0.4634
SIX5	0.631474006345	0.008364842495	0.2234	0.3391	0.2441	0.1933	0.4469	0.5626	0.4675	0.4168	0.6783	0.5832	0.5325	0.4881	0.4374
SMC3	0.162677324475	0.005659004632	0.2285	0.2756	0.2937	0.2022	0.4571	0.5041	0.5222	0.4308	0.5511	0.5692	0.4778	0.5873	0.4959
SP1	0.431213014296	0.047492133846	0.1299	0.4494	0.2483	0.1723	0.2599	0.5794	0.3783	0.3022	0.8989	0.6978	0.6217	0.4967	0.4206
SP2	0.632100986497	0.09998836159	0.1301	0.4378	0.2621	0.17	0.2603	0.5679	0.3922	0.3001	0.8756	0.6999	0.6078	0.5241	0.4321
SRF	0.736995307761	0.021172850388	0.2738	0.2357	0.2379	0.2527	0.5476	0.5095	0.5116	0.5265	0.4714	0.4735	0.4884	0.4757	0.4905
STAT1	0.530256300528	0.005840111506	0.2694	0.2259	0.2454	0.2593	0.5388	0.4953	0.5148	0.5287	0.4518	0.4713	0.4852	0.4907	0.5047
STAT2	0.85211703434	0.017735152255	0.1944	0.2548	0.1848	0.3659	0.3889	0.4492	0.3793	0.5603	0.5096	0.4397	0.6207	0.3697	0.5508
STAT5A	0.639081002969	0.011786654853	0.2678	0.2364	0.2252	0.2706	0.5356	0.5042	0.4931	0.5384	0.4728	0.4616	0.5069	0.4505	0.4958
TAL1	0.655570417059	0.01330615874	0.2555	0.257	0.1992	0.2883	0.511	0.5125	0.4547	0.5438	0.514	0.4562	0.5453	0.3984	0.4875
THAP1	0.676301280561	0.004633656956	0.158	0.3694	0.2936	0.179	0.316	0.5274	0.4516	0.337	0.7388	0.663	0.5484	0.5873	0.4726
TR4	0.679182194593	0.014106178127	0.2078	0.2255	0.4019	0.1648	0.4156	0.4333	0.6097	0.3726	0.451	0.6274	0.3903	0.8038	0.5667
USF1	0.587444376029	0.019721559455	0.2302	0.2747	0.2653	0.2298	0.4605	0.505	0.4955	0.46	0.5494	0.54	0.5045	0.5305	0.495
USF2	0.526198069526	0.003895620894	0.2033	0.2946	0.2936	0.2086	0.4065	0.4978	0.4969	0.4118	0.5891	0.5882	0.5031	0.5872	0.5022
YY1	0.720753283229	0.004899205168	0.2161	0.2844	0.3236	0.1759	0.4322	0.5005	0.5397	0.392	0.5689	0.608	0.4603	0.6472	0.4995
ZBTB33	0.469969486229	0.038168401385	0.2013	0.2878	0.2798	0.2311	0.4026	0.4891	0.4811	0.4324	0.5756	0.5676	0.5189	0.5596	0.5109
ZBTB7A	0.905862807171	0.04018837074	0.1884	0.4227	0.2416	0.1473	0.3768	0.6111	0.43	0.3357	0.8454	0.6643	0.57	0.4832	0.3889
ZNF143	0.661591891414	0.011290035669	0.2123	0.344	0.2321	0.2116	0.4246	0.5563	0.4444	0.4239	0.6879	0.5761	0.5556	0.4643	0.4437
ZNF263	0.828219568556	0.037525290292	0.3032	0.0758	0.5648	0.0561	0.6065	0.3791	0.8681	0.3593	0.1516	0.6407	0.1319	1.1297	0.6209
