FACTOR	METHOD	OBSERVED VS PREDICTED BIAS SCORE (OBS)	METHOD AUC / TC AUC
ATF3	FS	0.60464540015	0.490789890719983
BACH1	FS	0.786930672381	0.41537583678695
BRCA1	FS	0.494134260188	0.351368358032032
CEBPB	FS	0.770830153102	0.478727063596645
CTCF	FS	0.32251716358	0.594619974292743
EGR1	FS	0.749282409459	0.19458543065445
FOSL1	FS	0.682479958608	0.242882191444193
GABP	FS	0.534467733279	0.294680898934473
JUN	FS	0.761913346455	0.508746887700423
JUND	FS	0.807218901808	0.345035017632947
MAFK	FS	0.786973676151	0.507967893336671
MAX	FS	0.425915383186	0.34865374753355
MYC	FS	0.416266944553	0.321966888607271
NRF1	FS	0.128305459891	0.920513830450584
POU5F1	FS	0.869840977791	0.516304344124688
RAD21	FS	0.316479443453	0.677694689220204
REST	FS	0.490044216392	0.743119947245605
RFX5	FS	0.557216721889	0.40835702387081
RXRA	FS	0.632870878637	0.321865187896234
SIX5	FS	0.672866028588	0.375609324032451
SP1	FS	0.538431880244	0.201447068124513
SP2	FS	0.494158526449	0.186320608279158
SP4	FS	0.0596791982171	0.350364878564131
SRF	FS	0.758712001764	0.462577879981322
TCF12	FS	0.720877904814	0.218345709171687
USF1	FS	0.601909079269	0.54356640738432
USF2	FS	0.577773081932	0.465463533977227
YY1	FS	0.635495552128	0.396386899653298
ZNF143	FS	0.689803494665	0.27803724091545
ARID3A	FS	0.80716421887	0.449995182819244
ATF1	FS	0.687256109933	0.320906542229125
ATF3	FS	0.612195738469	0.694112827883879
BACH1	FS	0.461480034821	0.31817843566663
BHLHE40	FS	0.563904607907	0.223152233540518
CCNT2	FS	0.620201438553	0.215253809189129
CEBPB	FS	0.837443979326	0.341365290299645
CTCF	FS	0.226450856972	0.23773194786928
CTCFL	FS	0.196114634764	0.301899337387361
E2F4	FS	0.518568752189	0.0788121441317045
E2F6	FS	0.625726742361	0.0559399199805665
EFOS	FS	0.755693271069	0.118445860146233
EGATA	FS	0.796900563532	0.197648874606385
EGR1	FS	0.763513484225	0.123749009699878
EJUNB	FS	0.69021680169	0.113726876609208
EJUND	FS	0.737108537119	0.12603584183149
ELF1	FS	0.308332265108	0.0768948953330466
ELK1	FS	0.455771814968	0.0879629201864271
ETS1	FS	0.585564334152	0.038922488201509
FOS	FS	0.738568124619	0.1038373812822
FOSL1	FS	0.752207666107	0.111938675336236
GABP	FS	0.463500531325	0.0899003202326231
GATA1	FS	0.838360666041	0.332681481166292
GATA2	FS	0.803147857326	0.192710785714707
IRF1	FS	0.876927353785	0.188295568186175
JUN	FS	0.70375016811	0.31125986339417
JUND	FS	0.744622666669	0.128188003627798
MAFF	FS	0.627273230589	0.289548815153027
MAFK	FS	0.607781675024	0.317862575835384
MAX	FS	0.45307600016	0.109214618111491
MEF2A	FS	0.817226869474	0.17616993872955
MYC	FS	0.266216093732	0.0721276788270855
NFE2	FS	0.563238926177	0.312416600350119
NFYA	FS	0.4442794763	0.258822597217804
NFYB	FS	0.39409043756	0.180398110454225
NR2F2	FS	0.592578609471	0.0795550105828254
NRF1	FS	0.358511386411	0.750221767582845
PU1	FS	0.560204927134	0.131767249877999
RAD21	FS	0.146943213521	0.364052774037592
REST	FS	0.610249613624	0.406764229405655
RFX5	FS	0.5817831067	0.121130545391173
SIX5	FS	0.631474006345	0.0952630421279519
SMC3	FS	0.162677324475	0.318089794124787
SP1	FS	0.431213014296	0.119122010042346
SP2	FS	0.632100986497	0.10293863496987
SRF	FS	0.736995307761	0.0893768961755087
STAT1	FS	0.530256300528	0.230469369179909
STAT2	FS	0.85211703434	0.231866729805636
STAT5A	FS	0.639081002969	0.273308993697901
TAL1	FS	0.655570417059	0.162901882552542
THAP1	FS	0.676301280561	0.0158670190441098
TR4	FS	0.679182194593	0.134699433460183
USF1	FS	0.587444376029	0.236149370393854
USF2	FS	0.526198069526	0.301783025664396
YY1	FS	0.720753283229	0.165393616363626
ZBTB33	FS	0.469969486229	0.351353470141195
ZBTB7A	FS	0.905862807171	0.0225991083002522
ZNF143	FS	0.661591891414	0.0706478596999906
ZNF263	FS	0.828219568556	0.179508219152266
ATF3	PWM	0.60464540015	0.372462005053148
BACH1	PWM	0.786930672381	0.313518337627644
BRCA1	PWM	0.494134260188	0.0101209009841983
CEBPB	PWM	0.770830153102	0.405676166580733
CTCF	PWM	0.32251716358	1.10865341220721
EGR1	PWM	0.749282409459	0.401005998690755
FOSL1	PWM	0.682479958608	0.166240695501702
GABP	PWM	0.534467733279	0.414275675763382
JUN	PWM	0.761913346455	0.154653183128204
JUND	PWM	0.807218901808	0.255692766537451
MAFK	PWM	0.786973676151	1.35769902598803
MAX	PWM	0.425915383186	0.133430186280271
MYC	PWM	0.416266944553	0.108431110686683
NRF1	PWM	0.128305459891	1.10732082525641
POU5F1	PWM	0.869840977791	0.556035995618772
RAD21	PWM	0.316479443453	1.27914160984454
REST	PWM	0.490044216392	2.37607383498298
RFX5	PWM	0.557216721889	0.68491414110993
RXRA	PWM	0.632870878637	0.156531409144817
SIX5	PWM	0.672866028588	0.556687231684383
SP1	PWM	0.538431880244	0.32466296988845
SP2	PWM	0.494158526449	0.330229705131835
SP4	PWM	0.0596791982171	0.254476057139126
SRF	PWM	0.758712001764	0.879661148734111
TCF12	PWM	0.720877904814	0.132702295962748
USF1	PWM	0.601909079269	0.606871870592796
USF2	PWM	0.577773081932	0.37796860073709
YY1	PWM	0.635495552128	0.595474606276732
ZNF143	PWM	0.689803494665	0.380436188626072
ARID3A	PWM	0.80716421887	0.0139940355628403
ATF1	PWM	0.687256109933	0.33574467076105
ATF3	PWM	0.612195738469	0.642500133036596
BACH1	PWM	0.461480034821	0.189020037262738
BHLHE40	PWM	0.563904607907	0.279125396014971
CCNT2	PWM	0.620201438553	0.290572043353766
CEBPB	PWM	0.837443979326	0.489641692120869
CTCF	PWM	0.226450856972	0.71265338059612
CTCFL	PWM	0.196114634764	0.547228997386028
E2F4	PWM	0.518568752189	0.114450228269721
E2F6	PWM	0.625726742361	0.196364494418847
EFOS	PWM	0.755693271069	0.135336459927798
EGATA	PWM	0.796900563532	0.0930078517628595
EGR1	PWM	0.763513484225	0.3330199242455
EJUNB	PWM	0.69021680169	0.181922742611131
EJUND	PWM	0.737108537119	0.1774049918226
ELF1	PWM	0.308332265108	0.271886293521714
ELK1	PWM	0.455771814968	0.0832663330973069
ETS1	PWM	0.585564334152	0.124677880856633
FOS	PWM	0.738568124619	0.113949418668226
FOSL1	PWM	0.752207666107	0.155670254363124
GABP	PWM	0.463500531325	0.29900718316506
GATA1	PWM	0.838360666041	0.111921779023608
GATA2	PWM	0.803147857326	0.0817660431961052
IRF1	PWM	0.876927353785	0.636996286986315
JUN	PWM	0.70375016811	0.140681851273872
JUND	PWM	0.744622666669	0.178435610077375
MAFF	PWM	0.627273230589	1.16325159874878
MAFK	PWM	0.607781675024	0.870968289917133
MAX	PWM	0.45307600016	0.0653022436791637
MEF2A	PWM	0.817226869474	0.412018597488815
MYC	PWM	0.266216093732	0.0831381079183702
NFE2	PWM	0.563238926177	0.735093921426669
NFYA	PWM	0.4442794763	0.256026016630754
NFYB	PWM	0.39409043756	0.664032455229813
NR2F2	PWM	0.592578609471	0.0952642607823668
NRF1	PWM	0.358511386411	0.634123779412847
PU1	PWM	0.560204927134	0.726740092039848
RAD21	PWM	0.146943213521	0.76364185393553
REST	PWM	0.610249613624	1.43689712803719
RFX5	PWM	0.5817831067	0.443701563694033
SIX5	PWM	0.631474006345	0.458469645924086
SMC3	PWM	0.162677324475	0.694498216192448
SP1	PWM	0.431213014296	0.26866400068052
SP2	PWM	0.632100986497	0.301835715498755
SRF	PWM	0.736995307761	0.430194356170672
STAT1	PWM	0.530256300528	0.167913311506918
STAT2	PWM	0.85211703434	0.608751409179296
STAT5A	PWM	0.639081002969	0.126447478748324
TAL1	PWM	0.655570417059	0.300916416346292
THAP1	PWM	0.676301280561	0.0742063967800382
TR4	PWM	0.679182194593	0.655118477462671
USF1	PWM	0.587444376029	0.380761168411261
USF2	PWM	0.526198069526	0.316238529056801
YY1	PWM	0.720753283229	0.588489618977498
ZBTB33	PWM	0.469969486229	0.491973222624244
ZBTB7A	PWM	0.905862807171	0.0291578950183106
ZNF143	PWM	0.661591891414	0.349995107952552
ZNF263	PWM	0.828219568556	0.523864838305506
ATF3	Cuellar	0.60464540015	0.990807526157462
BACH1	Cuellar	0.786930672381	0.880813581538708
BRCA1	Cuellar	0.494134260188	0.981880125361059
CEBPB	Cuellar	0.770830153102	1.05453776611093
CTCF	Cuellar	0.32251716358	1.1904030123364
EGR1	Cuellar	0.749282409459	0.99647082204556
FOSL1	Cuellar	0.682479958608	0.94542474621574
GABP	Cuellar	0.534467733279	0.988383446984988
JUN	Cuellar	0.761913346455	0.946619944896295
JUND	Cuellar	0.807218901808	1.06299398135492
MAFK	Cuellar	0.786973676151	0.867786869150477
MAX	Cuellar	0.425915383186	0.928575056306131
MYC	Cuellar	0.416266944553	0.982450387288293
NRF1	Cuellar	0.128305459891	1.01096589740642
POU5F1	Cuellar	0.869840977791	1.03315565714625
RAD21	Cuellar	0.316479443453	1.20228439728144
REST	Cuellar	0.490044216392	1.4333785882898
RFX5	Cuellar	0.557216721889	1.13377804404153
RXRA	Cuellar	0.632870878637	0.868582526381945
SIX5	Cuellar	0.672866028588	0.917716490151196
SP1	Cuellar	0.538431880244	0.992744828281876
SP2	Cuellar	0.494158526449	0.992972653433144
SP4	Cuellar	0.0596791982171	1.28501433054988
SRF	Cuellar	0.758712001764	1.58451583913338
TCF12	Cuellar	0.720877904814	0.997619049987039
USF1	Cuellar	0.601909079269	1.20714663856768
USF2	Cuellar	0.577773081932	1.04536439316152
YY1	Cuellar	0.635495552128	1.08977553910864
ZNF143	Cuellar	0.689803494665	0.845245089299735
ARID3A	Cuellar	0.80716421887	1
ATF1	Cuellar	0.687256109933	0.853844838127497
ATF3	Cuellar	0.612195738469	0.986590298311147
BACH1	Cuellar	0.461480034821	0.789886671305229
BHLHE40	Cuellar	0.563904607907	0.968154231726298
CCNT2	Cuellar	0.620201438553	0.870586554240147
CEBPB	Cuellar	0.837443979326	1.06572378875642
CTCF	Cuellar	0.226450856972	1.05133359665975
CTCFL	Cuellar	0.196114634764	0.998472004710356
E2F4	Cuellar	0.518568752189	0.988714358365597
E2F6	Cuellar	0.625726742361	0.960621073099631
EFOS	Cuellar	0.755693271069	0.957946949956014
EGATA	Cuellar	0.796900563532	0.798536460558786
EGR1	Cuellar	0.763513484225	0.996429307916947
EJUNB	Cuellar	0.69021680169	0.948796057051822
EJUND	Cuellar	0.737108537119	0.949126000273195
ELF1	Cuellar	0.308332265108	0.903704015591226
ELK1	Cuellar	0.455771814968	0.990168879560929
ETS1	Cuellar	0.585564334152	0.93033030002423
FOS	Cuellar	0.738568124619	0.937083627889551
FOSL1	Cuellar	0.752207666107	0.942203514523052
GABP	Cuellar	0.463500531325	0.967266918852731
GATA1	Cuellar	0.838360666041	0.896860646840125
GATA2	Cuellar	0.803147857326	0.841357320204068
IRF1	Cuellar	0.876927353785	1.13091760960551
JUN	Cuellar	0.70375016811	0.790952842389852
JUND	Cuellar	0.744622666669	0.931300554728629
MAFF	Cuellar	0.627273230589	1.5799658916209
MAFK	Cuellar	0.607781675024	1.33336911954722
MAX	Cuellar	0.45307600016	0.863580790047936
MEF2A	Cuellar	0.817226869474	0.972915619967608
MYC	Cuellar	0.266216093732	0.982029748954049
NFE2	Cuellar	0.563238926177	1.01321762973686
NFYA	Cuellar	0.4442794763	0.989962705048559
NFYB	Cuellar	0.39409043756	1.07238090359104
NR2F2	Cuellar	0.592578609471	0.688837967877943
NRF1	Cuellar	0.358511386411	1.00244367255669
PU1	Cuellar	0.560204927134	1.14801389167811
RAD21	Cuellar	0.146943213521	1.02922211861481
REST	Cuellar	0.610249613624	1.23569965006577
RFX5	Cuellar	0.5817831067	1.01285955573964
SIX5	Cuellar	0.631474006345	0.884255720062188
SMC3	Cuellar	0.162677324475	1.01290923696844
SP1	Cuellar	0.431213014296	0.99021263896271
SP2	Cuellar	0.632100986497	0.987850587980684
SRF	Cuellar	0.736995307761	1.06826918997221
STAT1	Cuellar	0.530256300528	0.821289890110965
STAT2	Cuellar	0.85211703434	1.06953358985539
STAT5A	Cuellar	0.639081002969	0.954431009409761
TAL1	Cuellar	0.655570417059	0.83033068640335
THAP1	Cuellar	0.676301280561	0.935946450982028
TR4	Cuellar	0.679182194593	1.01553987885002
USF1	Cuellar	0.587444376029	0.988278315096207
USF2	Cuellar	0.526198069526	0.978419287376812
YY1	Cuellar	0.720753283229	1.00082615679665
ZBTB33	Cuellar	0.469969486229	1.04050801957448
ZBTB7A	Cuellar	0.905862807171	0.791835159355424
ZNF143	Cuellar	0.661591891414	0.804988943334181
ZNF263	Cuellar	0.828219568556	1.00175714932152
ATF3	FLR	0.60464540015	1.04650590074179
BACH1	FLR	0.786930672381	1.1672940974573
BRCA1	FLR	0.494134260188	1.0068443356554
CEBPB	FLR	0.770830153102	1.12480675873853
CTCF	FLR	0.32251716358	1.25035027683895
EGR1	FLR	0.749282409459	1.17973528592759
FOSL1	FLR	0.682479958608	1.05240264542193
GABP	FLR	0.534467733279	1.12270830241765
JUN	FLR	0.761913346455	1.02948136860874
JUND	FLR	0.807218901808	1.10427678327537
MAFK	FLR	0.786973676151	1.15551387093121
MAX	FLR	0.425915383186	1.07799052477926
MYC	FLR	0.416266944553	1.03384732784404
NRF1	FLR	0.128305459891	1.18522915172784
POU5F1	FLR	0.869840977791	1.01990788212409
RAD21	FLR	0.316479443453	1.29765350946404
REST	FLR	0.490044216392	3.07927045031318
RFX5	FLR	0.557216721889	1.09086271908445
RXRA	FLR	0.632870878637	1.09758634215282
