FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ARID3A	0.838328614681	1.44459432158e-27	0.775177598185	1.89655999374e-07
ATF3	0.5632951999	1.05391355676e-09	0.774354663924	3.0079629883e-08
BHLHE40	0.430878330332	7.64025304296e-06	0.568575613514	0.000129351869514
BRCA1	0.48016542087	4.29494508329e-07	0.576212226445	0.000557836453613
CEBPB	0.711008461563	1.15324201552e-16	0.859424218112	1.25808335136e-12
CTCF	0.173483155972	0.0843231550763	0.190194440602	0.160307911857
ELF1	0.197785148346	0.048550630335	0.218593073224	0.153999477752
GABP	0.476622436192	5.3638757766e-07	0.625221857312	1.60925820466e-05
JUN	0.552327098023	2.56381362233e-09	0.638405165061	3.1245320437e-06
JUND	0.869985766383	7.41231024701e-32	0.949699796377	9.32490163465e-21
MAFF	0.828710839174	1.91746737524e-26	0.88197053292	2.78213779525e-19
MAFK	0.853989887245	1.45946380238e-29	0.923016039377	1.04772072192e-20
MAX	0.547957903977	3.62105285796e-09	0.681950373968	1.26344753894e-06
MYC	0.517338776412	3.56278972753e-08	0.696848754865	5.88767586214e-07
NRF1	0.0789900461897	0.434690075974	0.0983422791053	0.546033262519
P300	0.888822429606	5.53942045499e-35	0.905729240273	9.14789101569e-19
RAD21	0.164390262779	0.102180308656	0.175457332825	0.195855785891
REST	0.419402262859	1.40356270556e-05	0.537730177437	9.39677783085e-06
RXRA	0.645373437594	4.21959592918e-13	0.725655060138	1.17203162037e-07
SP1	0.147849006401	0.142108979602	0.616848151903	2.24671485838e-05
SP2	0.2568496862	0.00989045695252	0.478490354417	0.000581651853309
SRF	0.834660344109	3.94948530879e-27	0.870531314627	2.90405925105e-18
TBP	0.804086437699	7.33404399839e-24	0.794127822823	1.63882011312e-11
USF1	0.465071783227	1.08824735938e-06	0.610677010534	2.8557044864e-05
USF2	0.401865954243	3.40929218621e-05	0.519829211792	0.000586527249459
YY1	0.672457234981	1.84064185604e-14	0.697723258038	1.41215403671e-07
