FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ARID3A	0.80716421887	3.65629008209e-24	0.882006268081	2.55677554548e-11
ATF1	0.687256109933	2.88069135072e-15	0.679638807087	1.08546791832e-07
ATF3	0.612195738469	1.30871462268e-11	0.629880779562	3.84953301912e-05
BACH1	0.461480034821	1.34896250046e-06	0.586124801873	1.20248019096e-05
BHLHE40	0.563904607907	1.00216520849e-09	0.621589359331	1.86212170884e-05
CCNT2	0.620201438553	5.92905617416e-12	0.583427711773	2.36915621337e-06
CEBPB	0.837443979326	1.84532870825e-27	0.909098257486	4.97665585389e-16
CTCF	0.226450856972	0.0234787008296	0.314652373324	0.0181829581147
CTCFL	0.196114634764	0.0505212500974	0.307073748971	0.0213336876804
E2F4	0.518568752189	3.26416246766e-08	0.57073795733	0.000120291982477
E2F6	0.625726742361	3.38770229529e-12	0.65782697066	3.97857120583e-06
EFOS	0.755693271069	1.02444591597e-19	0.863820802209	7.16027318345e-13
EGATA	0.796900563532	3.55433794977e-23	0.79140696158	2.14742516735e-11
EGR1	0.763513484225	2.5610684791e-20	0.874081826423	5.01263594648e-16
EJUNB	0.69021680169	1.96153320014e-15	0.822567582462	7.47455203355e-11
EJUND	0.737108537119	2.26296568425e-18	0.860694587078	1.07111820845e-12
ELF1	0.308332265108	0.00180258001366	0.344025591437	0.0222189823915
ELK1	0.455771814968	1.8882911767e-06	0.67523721869	1.75710128531e-06
ETS1	0.585564334152	1.56346523145e-10	0.594151108883	8.50307745929e-06
FOS	0.738568124619	1.79160824586e-18	0.835550109571	1.98991974195e-11
FOSL1	0.752207666107	1.86899331508e-19	0.858085882994	1.48794756622e-12
GABP	0.463500531325	1.19580726333e-06	0.591863389579	5.75696032643e-05
GATA1	0.838360666041	1.43179723825e-27	0.842397109048	9.44790456596e-12
GATA2	0.803147857326	9.04623696491e-24	0.799125168995	9.86963752765e-12
IRF1	0.876927353785	5.99517006255e-33	0.897087873211	3.08920006552e-22
JUN	0.70375016811	3.18872431597e-16	0.74742025461	5.58970402495e-09
JUND	0.744622666669	6.68602790092e-19	0.862373973338	8.63791369108e-13
MAFF	0.627273230589	2.89071511529e-12	0.68553875564	5.56673123788e-09
MAFK	0.607781675024	2.00602822555e-11	0.642503285077	8.51454901698e-07
MAX	0.45307600016	2.20872075925e-06	0.480597220889	0.00169612747894
MEF2A	0.817226869474	3.43159327478e-25	0.875206036091	4.12996555786e-16
MYC	0.266216093732	0.00742436043993	0.302985084431	0.0573777154732
NFE2	0.563238926177	1.05881934914e-09	0.541357715386	7.09136236637e-05
NFYA	0.4442794763	3.64976542022e-06	0.201601396756	0.136233229132
NFYB	0.39409043756	4.97481731592e-05	0.190910507125	0.193671484639
NR2F2	0.592578609471	8.31519921253e-11	0.65587192267	4.19061174427e-07
NRF1	0.358511386411	0.000249691992201	0.175893733967	0.277626922955
PU1	0.560204927134	1.35833173247e-09	0.579802396802	1.56978133991e-05
RAD21	0.146943213521	0.14459547977	0.16683948332	0.219076114983
REST	0.610249613624	1.58117644971e-11	0.719920676615	9.02549009168e-11
RFX5	0.5817831067	2.18382827391e-10	0.642105908382	8.6913329718e-07
SIX5	0.631474006345	1.87028082554e-12	0.727647447445	4.52091198559e-11
SMC3	0.162677324475	0.105854066296	0.216146537978	0.109601155147
SP1	0.431213014296	7.50342717628e-06	0.733507418329	7.28621754269e-08
SP2	0.632100986497	1.75160801296e-12	0.701412026491	2.80933757598e-08
SRF	0.736995307761	2.30419290705e-18	0.814714060518	2.17996112925e-14
STAT1	0.530256300528	1.39599341758e-08	0.509482725198	0.000785769140782
STAT2	0.85211703434	2.59919461508e-29	0.817388774763	1.36086823715e-12
STAT5A	0.639081002969	8.35755181225e-13	0.557270682518	0.000187556616375
TAL1	0.655570417059	1.34700891987e-13	0.640184178306	1.07931002444e-07
TBP	0.658562471446	9.55505812382e-14	0.709261411086	1.67500144982e-08
THAP1	0.676301280561	1.1487565328e-14	0.761847658072	6.77315420933e-08
TR4	0.679182194593	8.03074987225e-15	0.715502303102	1.09685925304e-08
USF1	0.587444376029	1.32200221759e-10	0.641721462905	8.09760421883e-06
USF2	0.526198069526	1.88171198329e-08	0.539495472854	0.000327664157039
YY1	0.720753283229	2.79981791759e-17	0.721229100071	3.34022400077e-08
ZBTB33	0.469969486229	8.08760571257e-07	0.406071013067	0.00418725042766
ZBTB7A	0.905862807171	2.43222215508e-38	0.91237190414	1.83310486581e-19
ZNF143	0.661591891414	6.72211753348e-14	0.769231164306	7.00365326687e-13
ZNF263	0.828219568556	2.17874864851e-26	0.816976974228	1.72348247925e-15
