PU1_TP	PU1_FP	PU1_TN	PU1_FN
2.462	1.037	0.199708563961	0.661
2.7185761537	1.08	0.185	0.665
2.37	1.16198414409	0.226826922535	0.741
2.279	0.983	0.232	0.584
2.731	1.021	0.259	0.664
2.556	0.905	0.208	0.738
2.396	1.04	0.179874391074	0.6
2.381	1.18436598347	0.252748782148	0.535
2.352	1.032	0.213	0.777
2.366	1.269	0.245	0.706
2.447	1.026	0.21735097905	0.645
2.368	0.991	0.228125691884	0.797
2.7331333666	1.005	0.221417127923	0.651940615189
2.384	1.113	0.286	0.726
2.522	0.972	0.205708563961	0.749
2.69328432305	1.053	0.191	0.658
2.579	1.08	0.221844226121	0.732930091802
2.528	1.239	0.206	0.872
2.635	1.244	0.19	0.733
2.826	1.013	0.211708563961	0.776972953974
3.26311347217	0.973	0.206585048143	0.91
2.847	1.092	0.232	0.781
2.931	1.066	0.236	0.751
2.72	1.011	0.205	0.697
2.711	1.138	0.219585048143	0.784
3.076	1.225	0.236	0.684
2.797	1.107	0.246	0.694
3.11880525459	1.265	0.238	0.682
2.974	1.248	0.268	0.705
3.006	1.187	0.220585048143	0.772
3.044	0.969987359934	0.254	0.748
3.105	1.31661666257	0.28074432812	0.676
3.135	0.96	0.260971155565	0.667
3.28146243417	0.9	0.243	0.658
2.884	0.84	0.221	0.981473163987
2.829	0.893	0.222	0.77
2.872	0.873	0.199	0.752
3.175	0.83	0.201417127923	0.834
3.109	0.914	0.207	0.767
3.15851292649	0.957	0.221	0.851
3.337	1.016	0.232	0.843
3.365	1.011	0.216708563961	0.987
2.992	1.038	0.194	0.794
3.075	0.993	0.205	0.863
3.296	0.987	0.235708563961	0.926450916746
3.308	1.04814526522	0.282245912028	0.885
3.371	0.946	0.369	0.949
3.07144629061	0.974	0.348708563961	1.21206281286
3.214	0.902	0.28	0.948
3.224	1.075	0.254	0.919
3.222	0.97	0.219	1.163
3.818	0.971	0.223	1.052
3.672	1.033	0.230572653654	1.022
4.031	0.972	0.257	1.129
4.27580107632	0.959	0.243	0.891
3.505	1.055	0.223	0.898
4.25064361518	1.07	0.188585048143	0.887
3.92243021929	1.025	0.215	1.189
3.404	1.027	0.252	0.974
3.842	1.321	0.295	0.825
3.87	1.122	0.224	0.976
3.878	1.16	0.201	0.917
3.516	1.154	0.218	0.859
3.68461024442	1.288	0.224	0.914
3.614	1.362	0.235	0.9
3.832	1.258	0.275	1.004
3.619	1.099	0.226	1.077
3.347	1.035	0.227	0.933
3.325	0.999	0.212	0.915
3.419	1.128	0.206	0.927
3.79910112844	1.084	0.198	1.039
3.794	1.086	0.252	1.295
3.839	1.17	0.276277519799	1.019
3.822	1.037	0.212	1.015
3.734	1.115	0.239	1.095
3.774	1.219	0.202	0.975554027642
3.589	1.244	0.167	0.996
4.013	1.078	0.19	1.13807297271
3.99	1.137	0.207	0.948
4.15	1.107	0.254	0.797
4.459	1.31218955258	0.297	0.968
4.305	1.322	0.24	1.028
4.46035210599	1.09	0.244739622401	0.86
4.027	1.11079705766	0.249708563961	0.926
3.985	1.002	0.224708563961	0.983
3.98044162818	1.01660792927	0.248	0.896
4.276	1.084	0.211	0.99
4.064	1.147	0.212	0.926
4.407	1.182	0.209	0.851
4.734	1.288	0.279708563961	0.9
4.908042856	1.32852929103	0.218	0.88
4.153	1.10101273509	0.219	0.867
3.922	1.03382280081	0.256	0.942
3.493	1.089	0.201	0.865
4.14870118684	1.157	0.23	1.149
3.142	0.971	0.241	0.91
2.426	0.783	0.151	0.515
2.51319578165	0.657	0.1	0.395
3.851	1.196	0.157	0.846
3.553	1.121	0.212	0.789
2.21	0.735	0.145	0.563
3.633	1.092	0.24	0.876
3.973	1.193	0.169	1.014
2.057	0.623	0.2	0.433
2.487	0.783	0.155	0.631
3.325	1.06870856396	0.168	0.830543429521
