GATA1_TP	GATA1_FP	GATA1_TN	GATA1_FN
3.507	0.85	0.137	2.05901639344
3.133	0.677	0.178	2.21639344262
3.24	0.744	0.185	2.29344262295
3.807	1.006	0.177	2.53442622951
3.657	0.866	0.185	2.6947233415
3.796	0.799	0.186	2.6131147541
3.738	0.803	0.22652831131	2.61639344262
3.624	0.865858287734	0.201	2.47213114754
3.908	1.043	0.179	2.47049180328
4.052	0.940963619863	0.21	2.55409836066
4.014	0.92	0.196	2.48852459016
3.942	1.139	0.168	2.35573770492
3.494	0.901	0.151417127923	2.39672131148
3.832	0.863	0.171	2.52131147541
3.968	0.827	0.180798998462	2.44098360656
4.134	0.845	0.174	2.58196721311
4.007	0.794	0.177	2.36721311475
4.082	0.726	0.151	2.30983606557
4.175	0.82	0.182	2.76229508197
4.266	0.897	0.166	2.4393442623
4.127	0.896	0.226324136805	2.51475409836
4.453	0.879	0.209708563961	2.69016393443
4.225	0.891	0.144563060675	2.78032786885
4.255	0.935	0.234	2.97868852459
4.395	0.886	0.235	3.136005404
4.858	0.915	0.214	3.35901639344
4.684	0.952	0.173	3.13442622951
5.077	0.863	0.203008650003	3.03278688525
5.135	0.898	0.173	3.08196721311
5.147	0.919	0.215	2.82786885246
5.273	0.832719290995	0.194	2.99265469557
5.632	0.968	0.226543429521	2.99180327869
5.0	0.923	0.24073613814	2.8737704918
5.66829640509	0.991	0.204	2.94754098361
5.06	1.08369940014	0.212	3.22295081967
5.314	1.059	0.266708563961	3.04918032787
5.408	0.966	0.236	3.01803278689
5.419	0.94	0.291	2.99672131148
4.86	1.001	0.357	3.50655737705
5.315	1.132	0.16373613814	3.67296967952
5.506	1.023	0.171719290995	3.64590163934
5.454	1.023	0.184	3.65409836066
5.657	0.935	0.19	3.4606557377
5.388	0.971	0.251	3.27540983607
4.886	0.999	0.143	3.83606557377
5.39007613365	0.938	0.265	3.67868852459
5.92167100787	0.884	0.169	3.7447145438
5.516	1.045	0.188	3.63278688525
5.437	1.014	0.188874391074	3.65245901639
5.604	0.891	0.174	3.67429385307
6.019	0.95	0.186862114923	3.60327868852
6.259	0.912	0.157	4.16885245902
6.126	1.062	0.196	3.81639344262
6.385	1.28942922053	0.18	3.7131147541
5.69	1.16	0.257	3.85409836066
5.438	1.14610275421	0.278	3.6737704918
5.773	1.209	0.228	3.91633999252
5.708	1.151919632	0.18774432812	3.84590163934
6.293	1.271	0.17	3.81147540984
6.62	1.434	0.209708563961	3.85737704918
6.006	1.221	0.185454936837	4.02459016393
6.54111256829	1.05137691236	0.185	3.74918032787
6.34681300428	1.223	0.173	4.25409836066
5.704	1.07	0.136248907441	4.24590163934
6.072	1.129	0.172	4.53660630469
6.53594241567	1.136	0.185	4.5609383412
6.927	1.298	0.166	4.34918032787
6.66234324839	1.227	0.181	4.61147540984
6.61675283332	1.281	0.177	4.84590163934
7.377	1.281	0.187417127923	4.52131147541
7.391	1.385	0.235473593835	4.27540983607
6.764	1.355	0.176708563961	4.31967213115
6.868	1.22	0.174	4.24918032787
6.999	1.36076909263	0.149	4.38360655738
6.987	1.241	0.179708563961	4.21475409836
7.03	1.265	0.175	4.48524590164
7.628	1.213	0.228318077362	4.93770491803
7.336	1.362	0.191	4.6262295082
7.567	1.346	0.171	4.49836065574
7.267	1.385	0.184	4.26885245902
7.688	1.403	0.201	5.33114754098
