GATA2_TP	GATA2_FP	GATA2_TN	GATA2_FN
2.524	0.653	0.162417127923	1.381
2.227	0.768	0.146	1.323
2.264	0.656	0.131	1.428
2.515	0.707	0.225	1.477
2.521	0.755	0.179819747349	1.402
2.467	0.662	0.184992072045	1.264
2.563	0.681	0.179	1.258
2.695	0.76	0.196708563961	1.425
2.58085981705	0.813	0.211	1.392
2.646	0.744	0.228	1.302
2.607	0.783	0.155417127923	1.312
2.794	0.759	0.187708563961	1.541
2.879	0.796	0.144	1.484
2.758	0.715	0.157	1.439
3.07124844163	0.707	0.15	1.368
2.961	0.699	0.137	1.375
2.889	0.857	0.163	1.426
2.785	0.789	0.175	1.418
2.963	0.766	0.187324136805	1.554
3.181	0.672	0.211708563961	1.587
3.04	0.669	0.156	1.634
3.103	0.693	0.22	1.644
3.287	0.758	0.25596486748	1.61
3.072	0.731	0.153826922535	1.854
2.889	0.789	0.228	1.778
3.279	0.686	0.188	1.659
3.305	0.693	0.191	1.711
3.161	0.694	0.208874391074	1.774
3.484	0.770719290995	0.22	1.63
3.321	0.744	0.228543429521	1.646
3.213	0.757	0.264	1.84
3.347	0.821	0.197	1.794
3.3	0.995699400144	0.185	1.833
3.535	0.841	0.225708563961	1.66
3.808	0.903	0.233	1.634
3.36796941223	0.83	0.245874391074	1.555
3.271	0.774	0.317	1.802
3.451	0.924	0.13	1.888
3.588	0.913	0.207874391074	1.675
3.326	0.823	0.194	1.977
3.438	0.838	0.153	1.901
3.564	0.786	0.160719290995	1.923
3.278	0.809	0.156	2.068
3.613	0.835	0.208708563961	2.045
3.465	0.861	0.233	1.895
3.634	0.869	0.183	1.959
3.811	0.774	0.286	1.929
3.685	0.824	0.174	2.25539306144
3.775	0.906	0.166918314244	2.104
3.814	1.006	0.209874391074	2.16
4.296	0.853	0.204	1.989
4.264	0.824	0.176	1.915
4.07	0.896	0.157	1.939
4.028	0.784102754212	0.157	2.092
4.192	0.969486075146	0.175	2.157
3.97325312369	0.938919632	0.182	2.048
4.117	0.959	0.18	2.65063719069
3.955	0.993	0.178	2.169
3.786	1.108	0.16474432812	2.171
4.21013872485	1.01637691236	0.143	2.191
4.388	0.888	0.215708563961	2.204
4.431	0.917	0.15403998498	2.499
4.397	0.929	0.165	2.265
4.324	0.981499022428	0.198	2.277
4.434	0.901	0.177248907441	2.221
4.16880174995	0.956	0.19453191114	2.221
4.2681975328	1.019	0.185	2.484
4.979	1.442	0.164	2.432
