ARID3A_TP	ARID3A_FP	ARID3A_TN	ARID3A_FN
2.01530612245	0.994	0.16	1.35682819383
1.69387755102	0.717	0.154417127923	1.2731277533
2.22448979592	0.516	0.155	1.22246696035
2.47959183673	0.602302009203	0.152	1.3436123348
2.28571428571	0.580291353482	0.135417127923	1.52863436123
2.5	0.486	0.17	1.5704845815
2.26020408163	0.499	0.139708563961	1.07929515419
2.42346938776	0.525	0.149	1.21722157261
2.13265306122	0.584	0.163	1.29515418502
2.05102040816	1.016	0.168417127923	1.33039647577
2.30612244898	0.79	0.169708563961	1.20484581498
2.20408163265	0.667798543295	0.158708563961	1.25991189427
2.2806122449	0.71	0.169	1.43832599119
2.25	0.617	0.195	1.46696035242
2.47959183673	0.532	0.167	1.59362953967
2.42857142857	0.483780083186	0.14	1.35682819383
2.5	0.525	0.119	1.24449339207
2.76020408163	0.576	0.14	1.30396475771
2.83163265306	0.613	0.153	1.36535751594
3.4693877551	0.751	0.159223017504	1.40748898678
3.13775510204	1.092	0.156	1.26872246696
2.10204081633	0.515	0.15	1.34581497797
2.54081632653	0.591	0.151	1.3436123348
2.37244897959	0.731	0.171	1.87004405286
2.76530612245	0.5990025773	0.138	1.43171806167
2.36224489796	0.694	0.173708563961	1.640969163
1.79591836735	0.639	0.193	1.55958359621
2.41836734694	0.601	0.185648778229	1.56828193833
2.36734693878	0.706	0.149	1.33039647577
2.17857142857	1.032	0.181059913995	1.46255830367
2.39285714286	0.57	0.182420125349	1.31718061674
2.35714285714	0.579	0.15	1.28414096916
2.05612244898	0.76	0.135708563961	1.25991189427
2.16836734694	0.684	0.142	1.68041980038
2.05612244898	0.797	0.151	2.58529905909
2.56632653061	0.726	0.160397729442	1.69603524229
3.81632653061	0.519	0.131	1.61013215859
5.94739316971	0.51	0.119	1.43392070485
2.44387755102	0.52	0.178	1.29735682819
3.09183673469	0.502	0.219708563961	1.57149836271
2.41326530612	0.472	0.193604101003	1.53524229075
2.40306122449	0.542641011787	0.161	1.29074889868
2.74489795918	0.501	0.145554027642	1.5704845815
2.75	0.561	0.146708563961	1.47797356828
2.35714285714	0.601	0.176	1.3281938326
2.51530612245	0.472	0.16	1.40088105727
2.84693877551	0.495	0.165	1.47136563877
3.5306122449	0.481	0.175	1.46255506608
2.39795918367	0.728	0.156	1.30396475771
2.65816326531	0.575	0.167736423039	1.51101321586
2.86224489796	0.597	0.179	1.36123348018
3.72546581021	0.42	0.167	1.43171806167
3.46428571429	0.494	0.124	1.38105726872
3.33163265306	0.462	0.161	1.58901136074
3.57142857143	0.486	0.111	1.68942731278
3.31632653061	0.427	0.176	1.20484581498
2.62244897959	0.449	0.14	1.2268722467
3.60204081633	0.699	0.163	1.20264317181
2.90816326531	0.49	0.132	1.49559471366
3.20918367347	0.507	0.131	1.29295154185
2.89285714286	0.453598182872	0.161910985093	1.36563876652
3.9693877551	0.321	0.151	1.40969162996
3.03163716872	0.437	0.142	1.37885462555
2.3112244898	0.398	0.143	1.27092511013
2.87755102041	0.407	0.141860041839	1.27736832798
3.50510204082	0.432	0.114	1.43832599119
3.32653061224	0.423	0.154	1.34801762115
3.15816326531	0.387087545417	0.132	1.53744493392
3.92815774961	0.367	0.103	1.72466960352
3.23979591837	0.395	0.144417127923	1.70484581498
2.50510204082	0.388	0.112	1.45374449339
2.45408163265	0.404	0.148736423039	1.19823788546
2.74489795918	0.429	0.150708563961	1.38986784141
2.88265306122	0.396	0.151089568444	1.50881057269
2.48979591837	0.326	0.197	1.85242290749
2.59183673469	0.34	0.191	1.72246696035
2.52551020408	0.399	0.16171946099	1.70264317181
3.18367346939	0.368	0.163919620366	1.30616740088
2.77040816327	0.321	0.143708563961	1.21806167401
3.49489795918	0.38	0.129	1.33700440529
2.75	0.343	0.135	1.47136563877
2.13265306122	0.413	0.135	1.46696035242
2.46428571429	0.385585048143	0.099	1.16079295154
2.25	0.404	0.107	1.67841409692
2.22448979592	0.353	0.119	1.3436123348
2.67857142857	0.373	0.128	1.45374449339
2.40816326531	0.375	0.168	1.50440528634
2.60204081633	0.400011485994	0.107	1.4449339207
2.9693877551	0.368643318538	0.107	1.55066079295
3.16326530612	0.4	0.113708563961	1.74669603524
3.4693877551	0.432748001843	0.144	1.54845814978
3.11224489796	0.436	0.101	1.59691629956
3.59183673469	0.401708563961	0.086	1.18061674009
3.10714285714	0.401	0.132	1.20704845815
3.60204081633	0.335	0.12	1.20044052863
