TAL1_TP	TAL1_FP	TAL1_TN	TAL1_FN
1.973	0.584	0.162708563961	0.802
2.31693344751	0.574	0.175	0.749
2.257	0.684	0.195	0.724
2.133	0.757	0.164708563961	0.811
2.393	0.742	0.169181527656	0.744
2.537	0.71244326787	0.175	0.77
2.169	0.869	0.175708563961	0.826
2.268	0.734	0.206989091334	0.809
2.415	0.694	0.164	0.849
2.101	0.764739442731	0.154652076409	0.782244200058
2.319	0.716	0.199	0.852
2.357	0.682	0.183	0.929
2.588	0.77	0.172	0.834
2.386	0.702	0.197	0.875
2.38	0.721425881237	0.174	1.028
2.564	0.817	0.19	0.818
2.466	0.823	0.150943606417	0.709
2.375	0.78	0.176	0.863
2.382	0.804	0.192007453335	0.793
2.583	0.716	0.183	0.856
2.47	0.594	0.153	0.957
2.427	0.834	0.164	0.899
2.358	0.755	0.190977795758	0.835
2.555	0.733	0.216	0.944
2.605	0.675	0.2	0.929
2.606	0.653	0.161	0.882
2.658	0.66	0.203	1.006
2.464	0.744	0.182	0.899269697369
2.464	0.836	0.167	0.934370439816
2.603	0.834	0.21996486748	0.922
2.528	0.839587704924	0.19	1.022
2.83654718462	0.773	0.19	0.99
2.957	0.67	0.16	1.152
3.084	1.042	0.185	1.08
2.852	0.983	0.175766445542	0.944
3.056	0.985542789993	0.187	0.991
3.0	0.803	0.173708563961	1.034
2.803	0.865	0.156	0.938
3.027	0.752	0.196	0.942
2.969	0.803536009344	0.167	0.914
3.023	0.758607929273	0.171	0.930215083004
3.35256832365	0.681	0.18	1.005
3.006	0.739	0.19	0.922
3.078	0.799	0.180989091334	0.996
3.56933306092	0.796	0.186	0.978
3.095	0.868	0.146	0.943
2.986	0.751	0.177594748112	1.052
3.05	1.05133183954	0.164	1.013
3.137	0.865	0.166	1.118
3.367	1.00226762983	0.159	1.103
3.151	0.947	0.142	1.021
3.06470395834	0.870773399481	0.183	1.304
3.30157378848	0.96	0.177652076409	1.129
3.019	0.906	0.173	1.102
3.009	0.901	0.162	1.103
2.988	0.913	0.178	1.17
2.856	0.931487645868	0.154	1.12504782759
3.141	0.807	0.188	1.285
3.323	0.842	0.172	1.238
3.346	0.922	0.191	1.361
3.527	1.051	0.187708563961	1.29103263388
3.48721889446	0.904	0.166	1.141
3.524	0.96	0.179	1.139
3.85193068563	0.933	0.18273613814	1.164
