MEF2A_TP	MEF2A_FP	MEF2A_TN	MEF2A_FN
2.4152360515	0.665	0.142	0.855
2.42489270386	0.631	0.189	1.02915973357
2.26207744353	0.558	0.200706334629	0.909280630149
2.6224492297	0.533	0.099	0.852
2.45815450644	0.726	0.156339346003	0.879
2.40885135314	0.647544359793	0.101874391074	0.827
2.32618025751	0.604	0.111	0.905591048324
2.6008583691	0.63	0.144585048143	0.869553682635
2.67489270386	0.706	0.093	0.94
2.46030042918	0.608	0.117708563961	0.887
2.79506437768	0.569	0.168	0.824
2.58369098712	0.8	0.0798342558455	0.72
2.55579399142	0.693	0.127	0.92
2.4313304721	0.825	0.209	0.82
2.26180257511	0.536	0.175582955036	0.826
2.36051502146	0.581	0.22	0.752
2.51502145923	0.535	0.22	0.772
2.85193133047	0.598	0.139	0.766
2.54935622318	0.566559467403	0.201874391074	0.746
2.59027449511	0.596	0.149	0.865
2.61909871245	0.569	0.0884171279228	0.901
2.53433476395	0.531	0.18	0.91
2.47244010746	0.532	0.237	0.916
2.55356663938	0.53	0.125	0.898
2.4356223176	0.572	0.206	1.06781269467
2.72745063229	0.566	0.152	1.002
2.54506437768	0.555719290995	0.0857085639614	1.12
2.49898660481	0.642	0.119	0.949678640729
2.45278969957	0.606	0.093	0.848554027642
2.62813238928	0.534	0.0765428198069	0.893472341886
2.62982832618	0.581	0.122708563961	0.893918314244
2.60193133047	0.568	0.103708563961	0.915
2.62231759657	0.572	0.115748708492	0.946
2.59442060086	0.515	0.0728743910742	0.932
2.79935622318	0.524872078784	0.172	1.009
2.49248927039	0.497	0.110708563961	0.896
2.60515021459	0.498	0.082	0.906
2.69206008584	0.488	0.075	0.938
2.71137339056	0.567	0.063	0.990510913636
2.92489270386	0.533	0.0747085639614	0.974719290995
2.67381974249	0.531	0.0788743910742	0.937606374686
2.62124463519	0.587	0.0787085639614	0.851906264937
2.60515021459	0.612	0.0947085639614	0.997
2.50147948268	0.488	0.138	1.046
2.57510729614	0.461	0.119	1.035
2.75107296137	0.503	0.091	0.984
2.83966310313	0.504	0.0764447021017	0.875
2.78204327404	0.478	0.111708563961	1.10448795806
2.57832618026	0.511	0.116541532886	0.924
2.84664889975	0.545	0.118708563961	0.85
2.8347639485	0.582754098325	0.15835097905	0.933
2.71995708155	0.599	0.100585048143	0.921
2.57725321888	0.544	0.193434947703	0.958
2.580472103	0.503	0.0707085639614	1.0652595965
2.67811158798	0.539	0.054	1.03726189915
2.68177407978	0.506	0.0925850481431	1.13
2.98137866925	0.515	0.0624171279228	1.031
2.83590822647	0.585	0.091	1.013
2.8347639485	0.553	0.06636064037	1.02299207205
2.83970730726	0.498	0.067	0.989
2.59442060086	0.579740824624	0.134873876232	1.06
2.67381974249	0.582	0.222708563961	1.05145493684
2.73283261803	0.631	0.265585048143	1.099
2.47317596567	0.553	0.215	1.01
2.5482832618	0.671	0.218	1.12
2.9352055986	0.523	0.149125691884	1.094
2.85323481545	0.583236011668	0.108	1.074
2.96566523605	0.455919620366	0.0977085639614	1.058
3.10944206009	0.514522621474	0.074	1.053
2.67274678112	0.543	0.103	1.1
2.78326180258	0.608	0.232417127923	1.097
2.60836909871	0.593087545417	0.19	0.949
2.71309979494	0.499	0.109	1.033
2.70708154506	0.499	0.196750856955	1.176
2.96244635193	0.523	0.114	0.923
2.97639484979	0.51	0.214521258635	1.077
3.22854077253	0.513	0.169	1.243
3.41416309013	0.503	0.117	1.081
2.72746781116	0.477	0.0958059158875	0.918647496479
2.55472103004	0.485	0.141570393986	0.948
2.47424892704	0.451	0.088	0.931469221946
2.26502145923	0.472874391074	0.112708563961	0.802
2.23175965665	0.454	0.0776913415464	0.978
2.10407725322	0.39	0.076	0.919
2.23283261803	0.467	0.075	0.882
2.81115879828	0.421	0.13	0.937
3.12553648069	0.427	0.107125691884	1.074
3.04935622318	0.408	0.0878342558455	1.073
2.82618025751	0.447769979587	0.063	1.0
2.98283261803	0.424	0.056	1.003
2.60300429185	0.442	0.0805850481431	0.958
2.32939914163	0.389	0.109	0.821
2.91630901288	0.473	0.0698743910742	1.036
3.22961373391	0.507	0.1	1.215
3.04506437768	0.555	0.131	1.108
2.16094420601	0.391454936837	0.0597085639614	0.884
1.45922746781	0.287	0.076	0.546
1.15772532189	0.246009252855	0.0427085639614	0.415
0.812231759657	0.205	0.025	0.329
0.510729613734	0.141	0.049	0.251
0.517167381974	0.122	0.029	0.25
0.559012875536	0.168	0.026	0.218
0.81330472103	0.187	0.028	0.303
1.17918454936	0.221	0.031	0.457
1.37768240343	0.288	0.039	0.595
2.23712446352	0.421	0.114	0.909
3.32510729614	0.558	0.261	1.192
3.58261802575	0.535479731185	0.122	1.186
2.6491416309	0.496	0.0757361381404	0.968
2.49356223176	0.474	0.0917085639614	0.919
2.95815450644	0.467	0.04	0.935
3.28360816338	0.491	0.0777085639614	1.038
3.07403433476	0.492	0.128	0.963
2.93999552094	0.422	0.057	0.867
2.7982832618	0.467	0.0654171279228	0.967
2.51704784669	0.42	0.0418743910742	0.922
2.43884120172	0.451	0.0827085639614	0.873
2.47639484979	0.436	0.048	0.941
2.48068669528	0.459	0.044	1.018
2.26246834371	0.437	0.059	1.049
2.54077253219	0.498	0.110708563961	1.0400721474
2.75191497029	0.507	0.206	1.026
2.65879828326	0.508	0.099	0.943809196896
2.91416309013	0.535	0.171	1.131
3.40757325278	0.55413206173	0.212	1.31168848603
2.8830472103	0.597	0.116424590522	1.044
2.79399141631	0.534228265692	0.1	0.876
2.65665236052	0.535260596516	0.112708563961	0.995
2.62231759657	0.591260596516	0.0817085639614	1.002
2.78755364807	0.653652076409	0.1	1.016
2.83905579399	0.725708563961	0.139007453335	0.915
2.78862660944	0.64	0.254708563961	1.068
3.13412017167	0.625	0.115	1.081
2.87339055794	0.583	0.122270763042	1.104
2.90067731545	0.584	0.117388283488	1.115
2.95386266094	0.56	0.142	1.063
2.78433476395	0.537	0.169582955036	1.087
3.21814512978	0.517	0.086	1.057
2.87124463519	0.675	0.102874391074	1.123
2.92918454936	0.682	0.099	1.15
2.83154506438	0.646574937203	0.118	1.169
2.76287553648	0.564	0.167	1.031
2.67918454936	0.505	0.225262591603	1.164
2.9635193133	0.684	0.178834255846	1.185
2.77145922747	0.659	0.217938251077	1.083
2.82296137339	0.575326258534	0.29686646312	1.193
3.07403433476	0.582	0.333241503837	1.163
2.82296137339	0.612	0.171125691884	1.19
2.65450643777	0.577	0.156798998462	1.164
3.02789699571	0.574	0.093	1.086
2.95064377682	0.571	0.082	1.19457179894
3.24257871888	0.735	0.0735558402671	1.101
3.14604723809	0.598	0.067	1.14
2.88841201717	0.53	0.0960086500028	1.077
2.68884120172	0.463	0.108349449679	1.13
2.7660944206	0.49	0.086	1.228
2.87339055794	0.681	0.136	1.176
2.7864806867	0.659	0.103708563961	1.05589002485
2.63197424893	0.565	0.130953532539	0.974
2.44635193133	0.623	0.114	1.007
2.71244635193	0.6	0.106	1.135
2.61373390558	0.594910197706	0.15029875845	1.013
2.67489270386	0.639889010888	0.127585048143	1.013
2.32296137339	0.541	0.188	1.116
2.71244635193	0.52	0.119587437248	1.117
2.75	0.54865835998	0.137	1.179
2.85407725322	0.495	0.136585048143	1.109
2.84656652361	0.54	0.121	1.056
2.73712446352	0.582	0.0914447021017	0.926
2.62124463519	0.893141125074	0.101619549055	1.083
2.77725952464	0.718	0.0897085639614	0.895
2.55901287554	0.574	0.095	0.99
2.55364806867	0.638	0.111708563961	1.117
2.75643776824	0.629	0.096	1.022
2.51502145923	0.601	0.075	0.965
2.71995708155	0.55	0.0667362210987	0.942
