TR4_TP	TR4_FP	TR4_TN	TR4_FN
3.91061452514	1.54294198351	0.306	2.66265060241
3.78212290503	1.562	0.476	3.03614457831
4.58100558659	1.69075816024	0.434818622369	3.02409638554
4.08938547486	1.599	0.41	3.55421686747
4.98324022346	1.737	0.396619821048	4.26506024096
4.18994413408	2.091	0.439	2.33734939759
4.49162011173	1.56	0.34960239017	2.87951807229
3.84916201117	1.52	0.322243443462	2.92771084337
4.39664804469	1.337	0.318	2.84337349398
4.31284916201	1.437	0.328	2.61445783133
5.11731843575	1.491	0.373	3.03614457831
5.41899441341	1.47	0.394	4.03614457831
5.68156424581	1.444	0.329	2.78313253012
4.49720670391	1.412	0.317	2.78313253012
4.59776536313	1.394	0.433	2.09638554217
4.74301675978	1.202	0.378	2.84337349398
4.33519553073	1.463	0.326	3.09638554217
4.69273743017	1.5782376221	0.369	2.73493975904
4.35195530726	1.4406199737	0.341	3.06024096386
4.37430167598	1.401	0.329	2.89156626506
4.2905027933	1.71	0.369	2.93975903614
7.50837988827	1.925	0.315	3.80722891566
6.12290502793	1.888	0.385708563961	4.74698795181
7.03351955307	1.897	0.352885789958	3.51807228916
6.8156424581	1.595	0.338	4.07228915663
9.42458100559	1.573	0.322	3.53012048193
10.9217877095	1.606	0.441918314244	3.4578313253
7.03910614525	1.639	0.371	3.02409638554
6.21787709497	1.621	0.333	4.57831325301
6.21787709497	1.95814176504	0.292	3.57831325301
9.29608938547	1.537	0.319	2.90361445783
9.37988826816	2.545	0.33	4.09638554217
7.2625698324	1.992	0.364	4.3734939759
5.61452513966	1.9	0.352923885535	4.18072289157
4.5530726257	2.108	0.37	3.12048192771
6.18994413408	2.4727840099	0.313	3.73493975904
7.88826815642	1.908	0.351708563961	3.31325301205
6.40782122905	1.826	0.308	4.04819277108
6.40782122905	1.935	0.316	3.81927710843
5.83240223464	1.998	0.34135097905	2.56626506024
5.11731843575	2.032	0.346	2.33734939759
7.69810537833	1.899	0.333	3.26506024096
6.06145251397	1.846	0.332	3.84337349398
5.51955307263	1.793	0.277417127923	4.84337349398
5.01117318436	1.726	0.307	4.19277108434
5.16201117318	1.51028620752	0.319708563961	5.04819277108
5.23463687151	1.439	0.35	4.43373493976
6.6312849162	1.624	0.341	4.6265060241
5.24022346369	1.605	0.356	4.92771084337
5.95530726257	1.25	0.394993094439	3.85542168675
7.53631284916	1.4709943266	0.342	6.0843373494
6.28491620112	1.639	0.331	6.27710843373
6.12290502793	1.536	0.335	6.86746987952
7.24581005587	1.595	0.402	6.6265060241
5.83798882682	1.665	0.401	5.07228915663
5.0782122905	1.477	0.417	6.12048192771
5.62569832402	1.35	0.427	5.98795180723
6.02234636872	1.549	0.436	6.1686746988
7.08938547486	1.75813675254	0.295	6.53012048193
6.25139664804	1.79551248722	0.314	4.96385542169
6.25698324022	1.726	0.384	3.81927710843
9.1371301976	1.595	0.289	3.9156626506
6.57541899441	1.541	0.337	3.42168674699
7.75977653631	1.564	0.4	5.40963855422
8.49162011173	1.435	0.358	3.44578313253
7.11173184358	1.515	0.362	3.81927710843
6.68156424581	1.566	0.353	3.03614457831
7.53631284916	1.796	0.418	4.65060240964
8.16759776536	1.705	0.383	3.73493975904
6.53072625698	1.747	0.4	3.44578313253
7.29608938547	2.01824585675	0.416598231326	4.56626506024
6.84916201117	1.91977799833	0.419	4.57831325301
8.18994413408	1.933	0.372	4.22891566265
6.7374301676	2.076	0.357	4.33734939759
7.46927374302	1.722	0.451	7.60240963855
6.32402234637	1.603	0.427	6.19277108434
6.9217877095	1.611	0.431	4.03614457831
8.24127739732	1.866	0.437925863655	5.92771084337
6.8156424581	1.689	0.296	3.87951807229
9.4748603352	1.717	0.297	4.18072289157
7.7374301676	2.2474332035	0.303	4.13253012048
8.25139664804	2.145	0.371	3.09638554217
7.93854748603	2.281	0.322708563961	3.38554216867
8.03351955307	1.957	0.389	4.80722891566
8.40223463687	2.002	0.555	5.61445783133
7.48044692737	1.944	0.378	6.20481927711
8.05586592179	1.914	0.409	5.85542168675
7.60335195531	1.701	0.397708563961	5.13253012048
6.84357541899	1.618	0.321	4.14457831325
9.79329608939	1.708	0.346269100918	5.12048192771
8.37988826816	2.138	0.31835097905	5.10843373494
5.93854748603	1.78467865964	0.393	3.1686746988
5.54748603352	2.137	0.402	4.38554216867
6.5251396648	2.153	0.435	3.66265060241
8.21787709497	2.763	0.581	6.43373493976
6.91061452514	2.259	0.64	6.07228915663
15.6145251397	3.25806425559	0.823855402281	9.60240963855
7.62011173184	2.95122349147	0.582	6.36144578313
4.87709497207	2.12409578756	0.471	4.97590361446
6.77094972067	2.111	0.45943762853	5.6265060241
4.25139664804	1.621	0.333	3.92771084337
5.88268156425	1.93276177139	0.579	7.22891566265
4.94972067039	1.987	0.458	4.65060240964
8.86033519553	2.692	0.676	8.56626506024
10.5654695701	2.78323375347	0.661986786742	13.8915662651
7.77653631285	2.736	0.840987903638	5.5421686747
8.92737430168	2.98289785544	0.639303617428	5.57831325301
5.51955307263	2.08245634196	0.464	8.38554216867
6.46368715084	1.768	0.395	7.10843373494
5.86592178771	1.574	0.38873613814	3.43373493976
7.94413407821	1.647	0.374	6.81927710843
8.67039106145	1.71096573317	0.399	5.30120481928
7.27932960894	1.496	0.32	4.5421686747
7.28491620112	1.702	0.418	4.07228915663
6.88268156425	1.807	0.414	5.51807228916
8.13966480447	1.902	0.384	5.20481927711
8.2625698324	2.005	0.524	4.26506024096
6.40782122905	1.912	0.447	6.06024096386
5.64804469274	1.70467035672	0.378	5.06024096386
7.48603351955	1.72108825083	0.371	5.59036144578
7.00558659218	1.53788578996	0.322	3.86746987952
7.20111731844	1.608	0.319	3.96385542169
7.48044692737	1.78654040652	0.413	4.27710843373
7.37430167598	1.915	0.415	3.6265060241
7.45810055866	1.927	0.38	4.69879518072
5.50279329609	1.533	0.312	5.3734939759
6.71508379888	1.745	0.377	5.81927710843
8.16201117318	1.679	0.408	5.60240963855
7.39664804469	2.059	0.39	6.14457831325
8.05630737605	1.733	0.397	5.09638554217
7.99441340782	1.468	0.414708563961	4.3734939759
6.67597765363	1.514	0.36	4.97590361446
6.46368715084	1.476	0.387874391074	6.65060240964
9.53072625698	1.623	0.348	5.89156626506
9.70391061453	1.522	0.342	5.56626506024
7.57541899441	1.8045494797	0.347	6.55421686747
8.24581005587	1.71106338576	0.353	5.20481927711
7.27932960894	1.73	0.33	6.39759036145
7.48044692737	1.81757269127	0.436683305732	4.4578313253
7.35195530726	1.581	0.365	5.04819277108
7.25139664804	1.661	0.334	5.93975903614
7.42458100559	1.59	0.36	7.03614457831
7.50837988827	1.484	0.482	3.96385542169
7.21229050279	1.29	0.346	4.9156626506
