ks_pvalue_flr_method	ks_pvalue_flr_corr	ks_pvalue_fos_method	ks_pvalue_fos_corr	ks_pvalue_protection_method	ks_pvalue_protection_corr	ks_pvalue_tc_method	ks_pvalue_tc_corr	ks_stat_flr_method	ks_stat_flr_corr	ks_stat_fos_method	ks_stat_fos_corr	ks_stat_protection_method	ks_stat_protection_corr	ks_stat_tc_method	ks_stat_tc_corr
PWM	0.885765797236	FLR_80	0.87283725664	Cuellar_85	0.865855976921	TC	0.857860958095	HINTBC	0.893024229292	HINTBC	0.872841360517	HINTBC	0.81038445123	Centipede_90	0.705637085919
PIQ_95	0.882591522322	PWM	0.871952147032	Centipede_85	0.865855976921	FLR_85	0.849942920231	HINTBCN	0.892014675465	HINTBCN	0.839300370991	FLR_90	0.804766243147	HINTBC	0.700519550872
FLR_95	0.876982858526	Wellington	0.86602482025	PIQ_85	0.865855976921	FLR_99	0.849761089327	Dnase2Tf	0.889724711908	Dnase2Tf	0.806395482452	HINTBCN	0.793115335369	TC	0.62683853705
Wellington	0.869603935247	PIQ_80	0.858015294848	FLR_85	0.858983843406	HINT	0.848683749401	HINT	0.888731573591	FLR_90	0.802139761647	Dnase2Tf	0.786101808989	Centipede_95	0.619209429069
Centipede_90	0.869530600904	TC	0.857860958095	FLR_95	0.858951096064	PIQ_85	0.848683749401	Neph	0.881853475163	Neph	0.781722971864	PIQ_90	0.766411405496	HINTBCN	0.611305361305
FLR_85	0.863424490388	Dnase2Tf	0.856911577743	Boyle	0.858951096064	Wellington	0.832078631865	FLR_90	0.815834400341	FLR_95	0.774377031419	Neph	0.733711710824	FLR_90	0.574908073148
TC	0.848609938199	Centipede_99	0.856196034013	HINT	0.858951096064	HINTBCN	0.829377819677	PIQ_90	0.778324961424	PIQ_95	0.765410059424	HINT	0.730079779376	Dnase2Tf	0.571522374339
Centipede_85	0.844849738155	Centipede_85	0.855818477297	Neph	0.846347476727	FS	0.829272015612	FLR_95	0.766493483043	HINT	0.761560622476	Wellington	0.693973866509	FLR_95	0.55690846712
Centipede_99	0.843474014249	Neph	0.854808313305	Dnase2Tf	0.840002979536	PIQ_95	0.828225181982	Wellington	0.758257001215	PIQ_90	0.725692734496	FLR_95	0.681009717982	PIQ_90	0.538022423586
HINT	0.842024575675	PIQ_95	0.852633805129	TC	0.834368979517	PWM	0.826635237762	PIQ_95	0.74108637841	Centipede_95	0.714558915263	PIQ_95	0.659874749663	HINT	0.529925473587
