FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ATF3	0.506604851435	7.53833486737e-08	0.715061106196	2.17068506042e-07
BACH1	0.882048735383	8.48859437536e-34	0.95624733447	3.40908813636e-26
BRCA1	0.285656984782	0.00396489763422	0.491173151363	0.00430890063584
CEBPB	0.931685717498	6.87452887412e-45	0.978389936001	1.27816453759e-27
CTCF	0.793772861754	6.92721450721e-23	0.879359442267	4.85183783713e-19
EGR1	0.681525529409	5.98397780782e-15	0.750013291844	8.47986350986e-10
FOSL1	0.714433253164	7.05939913078e-17	0.840864710164	1.11956930799e-11
GABP	0.636673019339	1.08109649846e-12	0.75407334584	1.93239189687e-08
JUN	0.678870866198	8.34914773767e-15	0.856777620529	1.17907210127e-13
JUND	0.908645928934	5.98580425704e-39	0.954786138245	1.28612977533e-21
MAFK	0.851168677804	3.47091000785e-29	0.896052629187	7.77933759353e-18
MAX	0.830364854355	1.24347556785e-26	0.911032897192	3.36445021556e-16
MYC	0.690473276015	1.89689770753e-15	0.837301544808	1.65007914244e-11
NRF1	0.0587323421305	0.561617457047	0.268417434046	0.0939971319724
P300	0.657645773276	1.0619509353e-13	0.736796646865	2.36842097263e-09
POU5F1	0.795060852941	5.27020085127e-23	0.865908910069	1.94283699452e-15
RAD21	0.798541857128	2.49258801936e-23	0.882881166737	2.28456165609e-19
REST	0.809489352616	2.1430922121e-24	0.858761500031	1.73008279291e-18
RFX5	0.852596870202	2.24363674952e-29	0.911453637481	2.30640053166e-19
RXRA	0.55499733173	2.07099069726e-09	0.723009286876	1.37064303092e-07
SIX5	0.90774749516	9.45769235253e-39	0.943590290817	1.59031317124e-29
SP1	0.618309526698	7.16352231906e-12	0.646583377261	6.56263375631e-06
SP2	0.491734355196	2.04227792385e-07	0.424424453338	0.00264242715991
SP4	0.581705891219	2.19868400653e-10	0.650210092004	1.82025241221e-07
SRF	0.609882321817	1.63839644602e-11	0.648558482902	6.47918166478e-08
TBP	0.500684807691	1.12734670709e-07	0.648368347296	6.26518874946e-07
TCF12	0.730932069937	5.97846622655e-18	0.781763246118	2.60153917663e-09
USF1	0.611510111848	1.39908956058e-11	0.805180893063	3.75387083534e-10
USF2	0.626277760366	3.2018410059e-12	0.83668950269	1.76211514983e-11
YY1	0.447994537927	2.9572234765e-06	0.53360633983	0.000191524334564
ZNF143	0.896768721942	1.78215709276e-36	0.936809573162	3.89141180962e-28
