
# General #####################################################################
TF	transcription factor
TFBS	transcription factor binding site
MPBS	motif predicted binding site
bp	base pair(s)
HMM	hidden Markov model
ChIP	chromatin immunoprecipitation
DHS	DNase I Hypersensitivity
TSS	transcription start site
PWM	position weight matrix
FPR	false positive rate
FDR	false discovery rate
ROC-like	receiver operating characteristic
AUC	area under the ROC curve
\emph{de novo}	de novo
$p$-value	p-value
$e$-value	MEME e-value
cell type	cell type / cell line / cell
Supplementary X	supplementary X
genome-wide	genome wide
bit-score	bit score
segmentation-based	segmentation based
site-centric	site centric

# Cells #######################################################################
H1-hESC	H1hesc
HeLa-S3	HeLaS3
HepG2	HepG2
K562	K562

# Our method ##################################################################
H-HMM(x)	Histone only HMM using x histones
DH-HMM(x)	DNase+histone HMM using x histones

# Boyle #######################################################################
Boyle	Boyle method

# Neph ########################################################################
Neph	Neph method
FOS	footprint occupancy score

# Centipede ###################################################################
Centipede	CENTIPEDE method

# Cuellar-Partida #############################################################
Cuellar	Cuellar method


