P53_F	P53_R
-0.121675307424	-0.124204991817
-0.210156995284	-0.12450964355
-0.199721165971	-0.13729442404
-0.132059334058	-0.125101377403
-0.104120637684	-0.119808493494
-0.088705743686	-0.143566867448
-0.110068909183	-0.13063691547
-0.132769369703	-0.138696444315
-0.0900340222733	-0.157335108091
-0.00263723213296	-0.159302546012
-0.104076921744	-0.14053312174
-0.171272701434	-0.136846648947
-0.171373497405	-0.151367158207
-0.18206174623	-0.157886815051
-0.135082873144	-0.156414794688
-0.104645536193	-0.158387412546
-0.0680146630417	-0.133739866058
-0.123540916465	-0.112584618619
-0.156571604205	-0.0917879987475
-0.0962720708994	-0.0979438576025
0.0139482626958	-0.0341686534307
-0.0250827475834	-0.119173619918
-0.0902031004541	-0.172191880759
-0.138632832051	-0.164177818813
-0.183773212666	-0.118315114301
-0.15613567967	-0.172204713879
-0.132382016911	-0.185410424144
-0.156444668324	-0.119245460125
-0.14768530453	-0.0747593998702
-0.072917180526	-0.00468592155108
-0.0314022759786	-0.00895876263318
-0.0623050284332	-0.104979969336
-0.0968685468526	-0.165556661823
-0.0918528594396	-0.127072473417
-0.135515010059	-0.0970933109834
-0.171669308985	-0.120508585557
-0.165816257953	-0.161461698359
-0.161391052886	-0.171392736696
-0.173736116595	-0.158516984781
-0.166403731373	-0.178954423553
-0.147833281349	-0.108890591718
-0.14773221155	-0.057210786248
-0.13114078461	-0.11108724744
-0.146018551161	-0.135588302176
-0.132140447993	-0.104595578562
-0.140567563638	-0.110374081794
-0.138242192951	-0.131862822853
-0.114927256474	-0.141073885644
-0.126244265186	-0.194629733105
-0.129062172647	-0.212409294947
