GR_withDEX_F	GR_withDEX_R	GR_woDEX_F	GR_woDEX_R
0.197262896169	0.197356426321	0.0845190737884	0.216310023005
0.211510472785	0.233920336569	0.13609298672	0.32439884147
0.213523028075	0.221281478981	0.206029645726	0.270702690395
0.21188524812	0.222948847864	0.179907021615	1.12049092941
0.192802841077	0.242664792459	0.346401102071	0.214031756378
0.195674692177	0.219794642819	0.167473212197	0.407671449044
0.192713560379	0.222973583439	0.248539168967	0.406543307444
0.207782841396	0.221543836321	0.633811282163	0.394202716439
0.264018388822	0.246828578199	0.179465778616	0.297623013633
0.219047008921	0.241055217099	0.13981793809	0.294492365313
0.221056150148	0.25101444593	0.74212986627	1.80349647452
0.24882072171	0.242845699928	0.137298425022	0.934609058677
0.236018154304	0.254930533294	0.230416024946	0.147511592131
0.20395355901	0.225218435767	0.064621862341	0.33550826291
0.221677832572	0.207799936151	0.269162238182	0.208940910495
0.237342168292	0.212388732092	0.0858286603238	0.355576712703
0.224330974226	0.248262539298	0.818626448637	0.44924499126
0.280765203987	0.507202720419	0.150340143467	1.12867971454
0.281321126845	0.302202846601	0.302793773236	0.493970510284
0.201348891743	0.129370916688	0.493890896969	0.329464258328
0.0787886895797	0.183073883281	0.139380216901	0.296122944483
0.159015777466	0.0929691910751	0.153752482145	0.197924814595
0.143952423504	0.171422513435	0.478594008151	0.275947912476
0.0794393329575	0.272327246781	0.200065789298	0.222570993254
0.632260815922	0.167107661787	0.212023858851	0.341926522823
0.0653346975744	0.0838699691967	0.112395788742	0.179902064778
0.177118593424	0.58638244795	0.0964821519657	0.315500297288
0.25142018171	0.0808864741803	0.0646734881154	0.108605057722
0.192007193068	0.130666804955	0.264811104901	0.108445312954
0.0786446792414	0.16180768757	0.117739903927	0.141334023932
0.185672686726	0.0838639262938	0.0650196332886	0.120712838937
0.136061090384	0.1904458569	0.141360430397	0.260397518205
0.289519812754	0.297467539085	0.402960330987	0.121301032157
0.493612183331	0.249564493362	0.240526722911	0.22345459169
0.247646121708	0.216394707689	0.270212626727	0.070446959657
0.208308513561	0.212907148548	0.196497454057	0.398643439144
0.183228786871	0.223027404485	0.327554342779	0.231197373849
0.235120444028	0.178365991238	0.400110435877	0.331370345555
0.213460570288	0.222073133503	0.406546300857	0.126868911254
0.203784668394	0.200298010033	0.266967888752	0.449438263276
0.201471449278	0.194245059224	0.144263216748	0.081854649471
0.25290825278	0.186868795175	0.496708456529	0.136912129434
0.237421736747	0.20827056708	0.153644129379	0.614718781149
0.1973308503	0.194808192936	0.619587658245	0.226003779506
0.239931159997	0.19614874608	0.667790088898	0.124959134589
0.213200795195	0.211074985172	0.143217712196	0.485912249313
0.233567374686	0.192774116683	0.523687891104	0.114834705294
0.226263225994	0.193725754701	0.281479430055	0.464036212047
0.215083147067	0.198203566794	0.451829088442	0.278228104976
0.214394372264	0.194962436883	0.26665952906	0.216880579011
