GR_withDEX_F	GR_withDEX_R	GR_woDEX_F	GR_woDEX_R
0.322887453152	0.364877490068	0.0961256231583	0.267653500806
0.331240384884	0.388114811997	0.286641710912	0.890315628134
0.336926207938	0.37847811171	0.604672213771	0.169008067206
0.343623644807	0.35469892847	0.278178256907	0.584583191947
0.33869772389	0.357438357276	0.532797875305	0.126925074632
0.326073134016	0.375923105916	0.122145251273	0.380467932261
0.323666892114	0.363469322375	0.323285525938	0.195104024205
0.358966884899	0.428739096575	0.23675279219	0.271565459248
0.338438979792	0.361115199483	0.150942121869	0.317431492278
0.360509758616	0.355030019154	0.213171298471	0.332223137792
0.319524296577	0.386158878929	0.373507083364	0.379235389626
0.362475825611	0.362337532952	0.134476383979	0.729527044249
0.362308542281	0.378885571675	0.305638393916	0.321904653428
0.331727059978	0.357118352873	0.0982292715715	0.296894824541
0.39313519104	0.383601469194	0.162064073825	0.142329367378
0.34841250277	0.354468485651	0.116891297333	0.259270590357
0.354195463912	0.322379571437	0.575738413505	0.241389807992
0.415525602888	0.766519554741	0.157666556434	0.431107282739
0.335332366744	0.405227120387	0.264111347968	0.257630688519
0.29129582285	0.351143925129	0.55163588582	0.132960073761
0.188277947455	0.435935904539	0.176567982419	0.185722166518
0.162629208066	0.284074085197	0.186771839889	0.126882804519
0.261329127099	0.410611616632	0.0972860684648	0.121880434289
0.11367954374	0.547472503985	0.19514029953	0.171472577905
1.00868459215	0.256972507684	0.207416804227	0.290066892739
0.154488217145	0.174173743105	0.0569347248233	0.132799433506
0.334196221158	0.928304935495	0.0542381977748	0.414243201617
0.456486156816	0.114113206719	0.0680437790565	0.138234982198
0.32419531613	0.26327230179	0.244485104436	0.115493147245
0.255164008168	0.193414926431	0.205648295477	0.105314477322
0.418940934481	0.195588176297	0.140196352161	0.0701726361695
0.250856277936	0.314353902086	0.177318128904	0.105018494036
0.351894249747	0.341932410688	0.271709610699	0.0953796353583
0.73187190543	0.446148643179	0.176837523056	0.104168473809
0.331545087342	0.380803344791	0.22255176952	0.102614771789
0.318055779774	0.323780303188	0.217808276755	0.222870976526
0.349183137047	0.357287464836	0.471038865867	0.11420617724
0.373166023581	0.331974982618	0.329351677522	0.0959854404511
0.328178881014	0.426252872121	0.177693496614	0.0530436505192
0.336353076172	0.329907287074	0.159138070095	0.155563472151
0.358449010214	0.329476266845	0.112348566376	0.107611411268
0.351999149258	0.296667162831	0.200551156981	0.167566810634
0.389206526296	0.311647641371	0.129101457958	0.461939911821
0.363787020579	0.294319470073	0.719189902763	0.236688415991
0.367660272591	0.31027440448	0.269181621287	0.128325123628
0.347030603438	0.306498038389	0.133948325426	0.273129832073
0.32697548532	0.293114447531	0.266346626498	0.171097378782
0.339283304217	0.30952847332	0.110939570351	0.91834287682
0.327609767297	0.347015859765	0.285890210284	0.390460417551
0.357635641669	0.336816004581	0.333135908319	0.411520539014
