FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
BRCA1	0.327620875027	0.000876760120107	0.538943904083	0.00145958245523
CEBPB	0.941296293704	5.15283172592e-48	0.978424868175	1.23984802003e-27
CTCF	0.793766015754	6.9372519963e-23	0.881216318081	3.27133026565e-19
E2F4	0.503295330667	9.44914690602e-08	0.693548987404	6.99979448819e-07
E2F6	0.690997817987	1.77107008132e-15	0.853713885689	2.5444553315e-12
ELK1	0.654166842143	1.58035456246e-13	0.772818210905	5.12601982791e-09
FOS	0.912267558442	9.01489102341e-40	0.960691105269	9.47993966773e-23
GABP	0.670626718752	2.29824628884e-14	0.784932910346	2.03024281737e-09
JUN	0.71947360784	3.38328354485e-17	0.855217603861	1.45687130318e-13
JUND	0.905578867487	2.79933958335e-38	0.951906777348	4.05317198385e-21
MAFK	0.839230627594	1.12374732169e-27	0.887038495273	4.76648021508e-17
MAX	0.822950977292	8.36289619126e-26	0.89150640014	1.22555201901e-14
MYC	0.792009233875	1.00409635526e-22	0.898808687157	3.48210149203e-15
NFYA	0.782178439397	7.46018485394e-22	0.831389252736	2.14539514593e-15
NFYB	0.944706840678	2.97956022998e-49	0.97089643253	3.37683566915e-30
NRF1	0.0444358419712	0.660669739755	0.140378378579	0.387605872305
P300	0.814671799519	6.34311700196e-25	0.902735689647	1.8165351448e-18
RAD21	0.77743563342	1.89226747678e-21	0.876788517061	8.28572397463e-19
REST	0.808211142488	2.87720560051e-24	0.861445531574	1.03109828372e-18
STAT1	0.864289003496	5.2527506457e-31	0.927833325867	7.32319344353e-18
TBP	0.481167362883	4.03147903023e-07	0.597431279507	7.36033255838e-06
USF2	0.646597892532	3.68732169395e-13	0.832800089071	2.65854595548e-11
ZNF143	0.907254887872	1.21296972822e-38	0.942310227875	2.99472301131e-29
